flight_id,actual_departure_time,actual_arrival_time,delay_in_minutes,report_date
65297945-52cf-4a2e-aefd-85bcd4a95cd5,2025-05-19 10:51:59.168089,2025-05-19 14:40:52.199821,28409,2025-05-09
8dbb7fb6-43c6-46dc-b1f4-f7417a8d8ff3,2025-05-13 07:07:21.168089,2025-05-13 08:20:19.864674,19050,2025-05-19
33cdde30-725f-43d7-afca-888d94edb48f,2025-05-20 11:15:39.168089,2025-05-20 19:01:02.649447,35554,2025-05-21
6bf877e3-fbac-46ab-b11e-74e688ec745b,2025-05-13 19:43:52.168089,2025-05-14 00:10:44.278450,57111,2025-06-06
a60f8ec3-f3e4-45c5-8416-e685cb1a04fa,2025-05-19 21:31:41.168089,2025-05-20 06:02:04.310617,74960,2025-05-19
1fb16c92-fc40-4c41-89f1-62186fe9874a,2025-05-26 19:43:46.168089,2025-05-27 01:08:55.152960,81999,2025-05-28
7a0ee103-5db5-4313-aa40-6024ccad67b9,2025-05-10 06:01:26.168089,2025-05-10 18:03:11.985084,41283,2025-06-06
d618aef7-3fd0-4733-bc63-b2ed2cc4233e,2025-06-04 09:55:33.168089,2025-06-04 13:57:37.259688,72490,2025-05-27
99b57cd4-23d2-45ae-bc75-9dae7e1b72b0,2025-05-20 08:01:35.168089,2025-05-20 16:36:44.856118,4541,2025-05-14
56508139-48a9-46b8-8773-27355ccd8fb2,2025-05-19 19:34:21.168089,2025-05-20 04:11:11.060201,0,2025-05-25
b6cdc9c8-59af-4035-b424-734d2bdcd68a,2025-06-01 17:49:43.168089,2025-06-02 05:02:11.166684,56398,2025-06-05
d0be3818-fe47-4d1a-b66d-5301b8f4125d,2025-05-09 09:04:59.168089,2025-05-09 14:17:59.546285,50254,2025-05-16
ddad1e9f-4028-4346-be06-7d4d93480468,2025-05-24 14:50:55.168089,2025-05-24 22:45:24.016143,37143,2025-05-23
67358c6f-30f3-4ec3-a275-847630fc1976,2025-06-01 21:13:15.168089,2025-06-01 23:12:19.789456,37590,2025-05-09
9d567cdc-5224-4162-afc7-db238861609a,2025-06-01 17:39:41.168089,2025-06-02 01:06:11.932966,58187,2025-05-20
0a4ceac1-0311-4428-844d-5623f322153c,2025-05-12 15:25:44.168089,2025-05-13 01:13:56.040233,38368,2025-05-21
4e2b4fd1-3f76-4cc1-bd8d-eff3fc129e5d,2025-05-14 03:49:29.168089,2025-05-14 15:15:20.172906,0,2025-05-09
0d2fb038-9214-41c6-a19e-6f20429e704b,2025-06-05 06:25:25.168089,2025-06-05 15:07:02.908954,30785,2025-05-27
a95e5dbd-55a0-48b3-9ce8-f4676f9902b3,2025-06-07 04:22:53.168089,2025-06-07 12:15:48.945152,47743,2025-05-25
dd372fad-db98-4002-893a-9dd0511c069d,2025-05-16 14:47:37.168089,2025-05-16 22:05:10.292238,3435,2025-05-20
21a819fc-59fd-4b06-b577-927e487e147a,2025-06-06 20:40:10.168089,2025-06-07 04:08:33.791387,4721,2025-06-06
fbbcc4b3-fcc5-487a-b9ed-7c7dd23871c1,2025-05-12 19:46:43.168089,2025-05-12 22:01:09.781238,82713,2025-05-19
e0250198-0fc9-4007-8a8f-832c63eec9a5,2025-05-18 19:59:46.168089,2025-05-18 20:45:57.740156,44818,2025-06-03
e41e677f-f2f4-4b76-b9d6-ca6287727c12,2025-05-10 09:13:00.168089,2025-05-10 19:13:57.049126,34560,2025-05-30
69fead6b-1322-4ed6-bb09-e5f2d366795e,2025-05-15 07:16:31.168089,2025-05-15 09:14:45.124770,5139,2025-05-31
f1a184c5-f721-4194-b827-7abe2f164a07,2025-05-28 10:44:09.168089,2025-05-28 22:15:59.638339,12998,2025-05-13
252a6dcd-be31-4fb7-ac13-01f391be015e,2025-05-19 13:58:15.168089,2025-05-19 16:27:40.375309,12574,2025-05-28
411cc0b3-da46-4f7b-bd08-cbdbb9480059,2025-06-01 13:07:54.168089,2025-06-02 00:07:30.389136,90214,2025-06-01
42e40d9c-af2e-4fbf-b63a-c9b313661b96,2025-05-20 07:30:57.168089,2025-05-20 12:32:23.837047,0,2025-05-17
06764fb4-e4a0-4414-a846-37a28a972ac4,2025-05-23 07:48:50.168089,2025-05-23 10:17:53.117671,27172,2025-05-24
16dee8e1-4a63-43e4-8b00-e4d817beac39,2025-06-04 04:51:22.168089,2025-06-04 10:01:27.042249,30051,2025-06-06
4df8dedb-ac04-4549-b13a-53ea163e57f8,2025-05-14 11:02:37.168089,2025-05-14 15:59:31.054074,46136,2025-05-23
75def785-61b5-4af7-82de-e4aaac50c579,2025-06-07 17:46:53.168089,2025-06-07 19:56:08.340034,83496,2025-05-11
