price_id,airport_origin,airport_destination,first_class_price,business_class_price,economy_class_price,first_class_luggage,business_class_luggage,economy_class_luggage,start_date,end_date,actual
103ee797-249e-4ff4-8570-9795606bc17b,DFH,ONJ,2179.73,1016.51,554.45,56.92,76.0,23.86,2024-11-06,2025-03-15,False
ebe352b3-ff54-421a-95d2-5bd296628976,LKB,SOB,2177.91,1789.97,422.42,86.88,78.43,40.53,2025-02-01,2025-07-02,False
ecae7602-3b88-4516-8bf5-360657198940,UXN,DBO,4865.61,1843.45,977.77,88.37,46.63,40.0,2025-05-12,2025-07-10,True
484e66cb-30d3-41a6-818b-21f40e864ab7,XQV,KWA,2798.86,1817.61,589.86,53.99,76.5,28.15,2024-09-21,2024-12-05,True
5441a96d-3f34-4f97-a2d8-eec0363aea5b,DAX,MSS,3757.74,1952.61,368.53,68.67,55.74,25.27,2025-01-05,2025-03-21,False
b63bf7e3-9d0d-40af-9ffe-508181a80bc7,DLA,MRO,4249.07,1073.59,719.36,73.77,61.55,46.71,2024-11-19,2025-05-03,False
5adabc33-5165-412e-8a23-583ac642a0b5,RVR,JPP,2531.1,1949.21,261.6,92.6,64.73,37.15,2025-03-08,2025-05-22,True
5b7125fb-621a-4f4d-b465-28b03e07a443,LFY,KAY,4042.61,1582.71,530.02,70.03,79.34,49.11,2025-01-29,2025-03-18,False
983e7aa9-5b26-40de-b27c-8a695d086791,CUE,EYY,3742.22,1799.39,767.66,53.24,42.38,34.92,2025-03-01,2025-08-01,True
fe7b244a-ae7b-4cb5-a181-cf9cf8c9cc0a,JIM,CZI,2052.24,1453.82,244.06,96.43,43.01,23.09,2024-06-29,2024-10-18,True
fb8b5f19-e0d4-429e-bde3-761443bc32e8,UAC,DGA,4284.36,1045.27,458.37,63.77,51.84,41.73,2024-07-31,2024-09-24,True
bcf22ae6-dc41-4aae-8a9a-eaa6affa5791,ROG,FJA,4291.8,1758.92,663.89,71.61,64.52,28.53,2025-02-25,2025-06-02,False
9bd4fc5f-9317-438b-9df2-63ba02268d00,GEG,SXR,2866.06,1047.51,699.0,83.66,77.27,25.7,2024-11-25,2025-05-09,False
1b344a55-3365-43ce-aaad-edab8c094353,HFK,VNO,2344.18,1537.72,623.19,90.6,65.8,41.74,2024-09-27,2025-02-11,True
6e407549-f87a-427b-9c13-38d2cd0bc506,FQD,ISP,2423.37,1118.7,483.61,79.31,55.78,32.16,2024-08-08,2025-01-16,False
6e150937-72dd-4a93-83a4-efb4072ddcd4,DVJ,RUE,3256.95,1408.91,337.83,61.16,58.64,41.25,2024-09-16,2025-03-01,True
6f4d4ed1-6b0c-4dc6-9cbf-fed389e21fd5,WIO,PKJ,4998.87,1911.25,948.58,63.62,74.51,24.57,2025-02-02,2025-04-19,True
cab9e828-b9c4-4398-86c5-0be392b3ac50,PHN,OBS,2819.23,1105.74,882.25,99.94,78.01,27.88,2024-11-03,2025-02-19,False
17da8fd2-643e-4f15-9041-fabb08569c40,CGW,UYD,2164.78,1352.88,783.12,79.86,61.9,40.19,2025-01-21,2025-03-23,True
e1d80953-a2d7-4e6d-8de3-e016ce810999,KIP,VOK,4059.37,1219.88,400.65,88.25,70.85,24.65,2025-01-23,2025-05-23,True
e29833c0-1769-4b16-b2dc-05c9d9460c96,PYP,HEK,3635.39,1042.6,977.53,55.4,51.12,20.47,2024-12-04,2025-02-26,False
8f150429-111d-41c5-9bf0-c94095de61ac,WPV,QMY,2401.93,1459.71,225.42,92.17,71.35,46.71,2025-05-25,2025-11-13,False
e9b72fe7-08df-45c8-9531-bdb85534d7ad,JNV,HVN,4022.22,1693.92,337.19,63.7,48.03,42.53,2024-07-06,2024-08-16,True
aad9fc6c-bd8a-44e7-a4f5-624351c87151,ITA,ZNR,3452.04,1733.73,971.79,57.14,67.7,38.11,2024-09-01,2024-10-11,False
c4058bc1-afb1-483d-9b3d-fa66c17c63dd,FMA,ZRK,2676.08,1890.79,457.02,87.91,58.8,45.01,2024-08-17,2024-11-03,False
f56d7efd-6b6d-4870-a2f6-b921e80e0ef5,OIV,ZLW,2134.64,1540.14,564.2,82.19,41.0,24.81,2024-07-17,2024-11-25,True
4d4051f5-f118-4a66-93ba-2d79cfbcc6ec,TWM,FLM,4452.17,1803.41,404.31,74.17,59.62,38.93,2024-07-07,2024-08-31,False
a0f4f47d-b4f7-4e7e-8421-731922b7cff3,OQG,MXJ,2315.6,1785.8,210.14,52.47,48.36,42.7,2024-10-02,2025-01-31,False
e091df12-29e9-4502-9d11-5ed33db9225f,HOU,XCR,4835.03,1895.89,781.08,88.99,62.12,46.84,2024-09-28,2025-01-24,True
f34e8d2f-7ea1-4af3-ac44-6fdabf527804,RZF,YFZ,3913.42,1990.43,617.42,93.39,70.38,22.41,2024-10-12,2025-01-26,False
819758e1-d839-4063-9940-98e09057ceae,NNI,ITB,2726.83,1019.03,448.31,50.95,72.87,43.82,2024-08-14,2024-10-02,True
912e8949-a423-400f-a642-b9dbabdfc087,OEV,JGQ,3202.67,1268.72,397.69,77.11,43.08,43.18,2025-01-22,2025-03-03,True
203b9d93-33c9-4ca4-9d0b-8bc49777b34e,DBN,CEI,3742.05,1166.29,895.42,87.3,48.94,25.25,2024-06-28,2024-09-08,True
400cb3d7-8ff0-4a5c-acdd-96c084b68bd3,ZEV,GSM,3493.29,1668.31,599.02,75.35,45.99,24.16,2024-07-27,2024-12-16,False
f49d8e6a-bae7-44ec-92c3-6740df7f6718,MUJ,XQX,4494.8,1227.62,607.81,99.1,66.39,29.22,2025-01-22,2025-03-04,False
146dec84-a2f7-40ad-b794-d8ea04215832,YSW,GHE,2951.24,1240.91,209.85,56.89,78.24,38.74,2024-11-25,2024-12-30,True
53fdcd4c-8ae8-418d-a2a2-2c2eec95f1dd,FOW,AMX,3455.43,1412.31,768.44,76.5,66.99,44.62,2025-02-22,2025-05-21,True
c9f8f929-bef2-47f9-8007-d287e1fff2b4,MON,PAQ,4556.4,1241.02,920.48,64.71,76.88,42.33,2025-03-10,2025-06-19,True
5738d4b1-256b-4c4c-9e95-ed0fba7251e2,KKZ,ZVM,3828.35,1146.44,450.36,69.81,58.79,39.54,2025-04-11,2025-09-09,False
525a405e-21d4-4544-a6af-4d7c7ae1a47d,ZPO,YYG,2828.07,1517.89,841.78,80.67,59.44,48.27,2025-02-11,2025-05-16,False
fdb6b0f0-2eec-4061-ac37-e1f039c45894,KOD,SRK,3228.0,1740.92,294.43,68.01,77.11,24.09,2024-08-22,2024-12-11,False
cb0a8fbf-1940-47d3-9834-6ffea2430585,NMW,RQU,2377.21,1541.16,954.17,80.46,60.27,37.68,2025-03-29,2025-08-11,False
200e1ca4-e2ec-449c-8d8c-4b124d448306,MZI,GMK,3568.15,1074.75,517.6,66.03,61.77,42.79,2024-06-04,2024-10-27,True
56facf3c-fea5-4c3a-9cf2-68b5c196009d,URB,XEV,2316.92,1416.44,855.02,76.22,46.25,20.26,2025-02-03,2025-05-28,False
bb651ff1-3a6c-4464-a8ec-a5274e13fce3,AUU,VRS,2137.52,1194.24,348.39,94.4,40.94,48.59,2025-02-09,2025-04-23,False
5291b7a2-88ac-41ed-a003-416ff5e9e2ac,ZUX,EHR,3958.47,1129.68,374.75,90.52,49.12,45.71,2025-05-22,2025-07-26,False
f762af6a-9b66-4191-b539-28e7ecf1928e,NVX,HPW,3835.04,1166.5,621.63,73.94,62.81,36.01,2025-04-08,2025-09-28,True
eb06866c-7b87-4324-9ae4-d05ae86e7b63,ITV,QWK,3566.99,1894.05,286.29,89.05,75.7,44.87,2024-12-13,2025-01-16,True
9e1e703c-0af8-4ce6-a5de-85600dfeb7db,LRI,WDT,3538.58,1359.12,640.07,53.86,62.21,46.53,2025-04-19,2025-10-10,True
fe3ae3c5-3f56-4b67-8c8e-110c4f8357f0,LEK,DOQ,2301.55,1700.88,560.4,86.09,76.21,39.97,2025-03-03,2025-07-25,True
29dccae5-5427-4388-be04-9cef2c3a90f1,ODH,SJQ,3985.1,1970.01,626.21,92.12,60.76,23.8,2025-02-22,2025-04-14,True
01a757cc-3b92-4145-a870-4ace0a3a4193,JYN,FBX,2386.63,1493.44,349.02,95.96,69.74,30.37,2024-06-08,2024-11-05,False
89855d82-88f3-42fd-a4b6-c1b808fb4d63,ONZ,WOA,4481.87,1935.69,576.8,90.26,50.84,32.84,2024-10-09,2025-03-16,True
4cc8ad65-a4c9-4129-add9-0cd6ad41cfcb,AUM,LQI,2766.24,1343.29,536.55,75.51,41.35,39.79,2024-07-22,2024-08-29,True
