airport_origin,date,total_flights,total_delay,late_flights,pct_late
DFW,2023-10-29,1,68,1,1.0
DFW,2023-10-31,1,98,1,1.0
DFW,2023-11-05,1,69,1,1.0
DFW,2023-11-07,1,60,1,1.0
DFW,2023-11-11,2,159,2,1.0
DFW,2023-11-13,1,40,1,1.0
DFW,2023-11-15,1,107,1,1.0
DFW,2023-12-01,1,56,1,1.0
DFW,2023-12-02,1,80,1,1.0
DFW,2023-12-03,1,79,1,1.0
DFW,2023-12-06,1,40,1,1.0
DFW,2023-12-14,1,21,1,1.0
DFW,2023-12-19,1,23,1,1.0
DFW,2023-12-26,2,30,2,1.0
DFW,2023-12-27,2,49,2,1.0
JFK,2023-01-07,1,31,1,1.0
JFK,2023-01-19,1,102,1,1.0
JFK,2023-01-24,1,71,1,1.0
JFK,2023-01-28,1,18,1,1.0
JFK,2023-01-29,1,18,1,1.0
JFK,2023-02-02,1,66,1,1.0
JFK,2023-02-06,2,79,2,1.0
JFK,2023-02-11,1,77,1,1.0
JFK,2023-02-17,1,92,1,1.0
JFK,2023-02-20,1,14,1,1.0
JFK,2023-02-21,1,23,1,1.0
JFK,2023-02-23,1,62,1,1.0
JFK,2023-03-02,1,22,1,1.0
JFK,2023-03-03,1,31,1,1.0
JFK,2023-03-04,1,80,1,1.0
JFK,2023-03-07,2,124,2,1.0
JFK,2023-03-09,1,25,1,1.0
JFK,2023-03-16,1,34,1,1.0
JFK,2023-03-22,1,37,1,1.0
JFK,2023-03-27,1,43,1,1.0
JFK,2023-03-28,1,18,1,1.0
JFK,2023-03-30,1,13,1,1.0
JFK,2023-04-05,1,34,1,1.0
JFK,2023-04-07,1,31,1,1.0
JFK,2023-04-14,1,6,1,1.0
JFK,2023-04-15,2,206,2,1.0
JFK,2023-04-20,1,14,1,1.0
JFK,2023-04-21,1,26,1,1.0
JFK,2023-04-25,1,107,1,1.0
JFK,2023-04-28,1,2,1,1.0
JFK,2023-04-30,1,109,1,1.0
JFK,2023-05-01,1,18,1,1.0
JFK,2023-05-04,2,132,2,1.0
JFK,2023-05-09,1,80,1,1.0
JFK,2023-05-13,2,40,2,1.0
JFK,2023-05-17,1,32,1,1.0
JFK,2023-05-25,1,48,1,1.0
JFK,2023-05-26,1,77,1,1.0
JFK,2023-05-28,1,64,1,1.0
JFK,2023-06-04,1,87,1,1.0
JFK,2023-06-09,1,64,1,1.0
JFK,2023-06-16,1,39,1,1.0
JFK,2023-06-20,1,73,1,1.0
JFK,2023-06-22,1,33,1,1.0
JFK,2023-06-23,1,113,1,1.0
JFK,2023-07-08,2,175,2,1.0
JFK,2023-07-12,1,46,1,1.0
JFK,2023-07-13,2,136,2,1.0
JFK,2023-07-23,1,50,1,1.0
JFK,2023-07-25,3,212,3,1.0
JFK,2023-07-31,1,100,1,1.0
JFK,2023-08-02,1,50,1,1.0
JFK,2023-08-10,2,222,2,1.0
JFK,2023-08-13,1,108,1,1.0
JFK,2023-08-14,1,74,1,1.0
JFK,2023-08-15,1,53,1,1.0
JFK,2023-08-23,1,23,1,1.0
JFK,2023-08-24,1,13,1,1.0
JFK,2023-08-29,3,225,3,1.0
JFK,2023-08-31,1,27,1,1.0
JFK,2023-09-01,1,114,1,1.0
JFK,2023-09-05,1,22,1,1.0
JFK,2023-09-08,1,110,1,1.0
JFK,2023-09-14,1,82,1,1.0
JFK,2023-09-17,2,2,1,0.5
JFK,2023-09-20,1,70,1,1.0
JFK,2023-10-08,1,51,1,1.0
JFK,2023-10-10,2,158,2,1.0
JFK,2023-10-11,2,164,2,1.0
JFK,2023-10-12,1,35,1,1.0
JFK,2023-10-24,1,119,1,1.0
JFK,2023-10-26,1,119,1,1.0
JFK,2023-10-27,1,16,1,1.0
JFK,2023-10-30,1,4,1,1.0
JFK,2023-11-01,1,53,1,1.0
JFK,2023-11-14,1,95,1,1.0
JFK,2023-11-16,1,40,1,1.0
JFK,2023-11-21,1,16,1,1.0
JFK,2023-11-23,1,33,1,1.0
JFK,2023-12-01,1,113,1,1.0
JFK,2023-12-08,1,40,1,1.0
JFK,2023-12-25,1,52,1,1.0
LAX,2023-01-07,1,117,1,1.0
LAX,2023-01-12,1,44,1,1.0
LAX,2023-01-17,1,110,1,1.0
LAX,2023-01-21,1,70,1,1.0
LAX,2023-01-23,1,40,1,1.0
LAX,2023-01-27,1,104,1,1.0
LAX,2023-01-31,1,106,1,1.0
LAX,2023-02-14,1,95,1,1.0
LAX,2023-03-01,2,151,2,1.0
LAX,2023-03-02,1,113,1,1.0
LAX,2023-03-03,1,28,1,1.0
LAX,2023-03-08,1,36,1,1.0
LAX,2023-03-13,1,97,1,1.0
LAX,2023-03-18,1,34,1,1.0
LAX,2023-03-19,1,68,1,1.0
LAX,2023-03-23,1,13,1,1.0
LAX,2023-03-24,1,11,1,1.0
LAX,2023-04-02,1,42,1,1.0
LAX,2023-04-04,3,267,3,1.0
LAX,2023-04-07,1,17,1,1.0
LAX,2023-04-14,1,9,1,1.0
LAX,2023-04-16,1,8,1,1.0
LAX,2023-04-17,1,5,1,1.0
LAX,2023-04-18,1,83,1,1.0
LAX,2023-04-19,2,157,2,1.0
LAX,2023-04-28,2,210,2,1.0
LAX,2023-04-30,2,45,2,1.0
LAX,2023-05-07,1,20,1,1.0
LAX,2023-05-15,1,111,1,1.0
LAX,2023-05-18,1,73,1,1.0
LAX,2023-05-22,1,82,1,1.0
LAX,2023-05-27,1,22,1,1.0
LAX,2023-05-31,1,77,1,1.0
LAX,2023-06-01,1,84,1,1.0
LAX,2023-06-03,1,105,1,1.0
LAX,2023-06-05,1,13,1,1.0
LAX,2023-06-11,1,101,1,1.0
LAX,2023-06-13,1,20,1,1.0
LAX,2023-06-20,1,18,1,1.0
LAX,2023-06-25,1,29,1,1.0
LAX,2023-06-28,2,61,2,1.0
LAX,2023-07-03,2,116,2,1.0
LAX,2023-07-04,2,142,2,1.0
LAX,2023-07-08,2,81,2,1.0
LAX,2023-07-15,1,72,1,1.0
LAX,2023-07-16,1,12,1,1.0
LAX,2023-07-18,1,97,1,1.0
LAX,2023-07-25,2,232,2,1.0
LAX,2023-08-03,2,178,2,1.0
LAX,2023-08-09,2,37,2,1.0
LAX,2023-08-11,1,101,1,1.0
LAX,2023-08-12,1,76,1,1.0
LAX,2023-08-16,1,54,1,1.0
LAX,2023-08-18,1,117,1,1.0
LAX,2023-08-20,3,210,3,1.0
LAX,2023-08-21,1,117,1,1.0
LAX,2023-08-25,1,99,1,1.0
LAX,2023-08-27,2,124,2,1.0
LAX,2023-08-29,1,76,1,1.0
LAX,2023-09-04,1,116,1,1.0
LAX,2023-09-05,1,10,1,1.0
LAX,2023-10-01,1,94,1,1.0
LAX,2023-10-08,1,30,1,1.0
LAX,2023-10-12,1,80,1,1.0
LAX,2023-10-13,2,150,2,1.0
LAX,2023-10-14,1,29,1,1.0
LAX,2023-10-20,1,61,1,1.0
LAX,2023-10-24,1,108,1,1.0
LAX,2023-10-27,1,61,1,1.0
LAX,2023-10-29,1,95,1,1.0
LAX,2023-10-30,1,35,1,1.0
LAX,2023-11-02,1,115,1,1.0
LAX,2023-11-03,1,13,1,1.0
LAX,2023-11-04,1,6,1,1.0
LAX,2023-11-06,1,9,1,1.0
LAX,2023-11-08,1,96,1,1.0
LAX,2023-11-09,1,69,1,1.0
LAX,2023-11-11,1,69,1,1.0
LAX,2023-11-15,1,48,1,1.0
LAX,2023-11-19,1,29,1,1.0
LAX,2023-11-22,3,30,3,1.0
LAX,2023-11-24,1,33,1,1.0
LAX,2023-12-01,1,36,1,1.0
LAX,2023-12-03,2,115,2,1.0
LAX,2023-12-09,3,63,3,1.0
LAX,2023-12-10,1,11,1,1.0
LAX,2023-12-12,1,80,1,1.0
LAX,2023-12-17,1,14,1,1.0
LAX,2023-12-19,1,74,1,1.0
LAX,2023-12-31,1,17,1,1.0
ORD,2023-01-02,1,104,1,1.0
ORD,2023-01-04,1,115,1,1.0
ORD,2023-01-16,1,97,1,1.0
ORD,2023-01-18,2,77,2,1.0
ORD,2023-01-23,1,71,1,1.0
ORD,2023-01-25,1,48,1,1.0
ORD,2023-02-02,1,12,1,1.0
ORD,2023-02-05,1,55,1,1.0
ORD,2023-02-12,1,63,1,1.0
ORD,2023-02-13,1,96,1,1.0
ORD,2023-02-15,1,10,1,1.0
ORD,2023-02-16,1,105,1,1.0
ORD,2023-02-18,1,40,1,1.0
ORD,2023-02-21,1,29,1,1.0
ORD,2023-02-25,1,64,1,1.0
ORD,2023-02-26,1,82,1,1.0
ORD,2023-02-27,1,94,1,1.0
ORD,2023-02-28,1,52,1,1.0
ORD,2023-03-01,1,26,1,1.0
ORD,2023-03-06,1,70,1,1.0
ORD,2023-03-10,1,101,1,1.0
ORD,2023-03-13,1,72,1,1.0
ORD,2023-03-14,1,104,1,1.0
ORD,2023-03-28,1,6,1,1.0
ORD,2023-03-30,1,108,1,1.0
ORD,2023-04-08,1,109,1,1.0
ORD,2023-04-09,1,37,1,1.0
ORD,2023-04-12,1,61,1,1.0
ORD,2023-04-15,1,83,1,1.0
ORD,2023-04-16,1,10,1,1.0
ORD,2023-04-22,1,97,1,1.0
ORD,2023-04-24,1,54,1,1.0
ORD,2023-04-25,1,19,1,1.0
ORD,2023-05-02,1,46,1,1.0
ORD,2023-05-03,1,35,1,1.0
ORD,2023-05-06,1,98,1,1.0
ORD,2023-05-09,1,30,1,1.0
ORD,2023-05-14,2,160,2,1.0
ORD,2023-05-17,1,52,1,1.0
ORD,2023-05-29,1,61,1,1.0
ORD,2023-06-01,1,5,1,1.0
ORD,2023-06-02,1,2,1,1.0
ORD,2023-06-03,2,183,2,1.0
ORD,2023-06-10,1,46,1,1.0
ORD,2023-06-14,1,35,1,1.0
ORD,2023-06-20,1,76,1,1.0
ORD,2023-06-21,1,29,1,1.0
ORD,2023-06-25,1,54,1,1.0
ORD,2023-06-30,1,28,1,1.0
ORD,2023-07-04,1,79,1,1.0
ORD,2023-07-06,1,9,1,1.0
ORD,2023-07-10,1,116,1,1.0
ORD,2023-07-11,1,83,1,1.0
ORD,2023-07-13,1,72,1,1.0
ORD,2023-07-14,1,89,1,1.0
ORD,2023-07-18,1,89,1,1.0
ORD,2023-07-25,2,129,2,1.0
ORD,2023-07-30,1,117,1,1.0
ORD,2023-08-03,1,88,1,1.0
ORD,2023-08-08,1,51,1,1.0
ORD,2023-08-09,1,92,1,1.0
ORD,2023-08-12,1,107,1,1.0
ORD,2023-08-14,1,94,1,1.0
ORD,2023-08-24,1,67,1,1.0
ORD,2023-08-25,1,120,1,1.0
ORD,2023-09-08,1,42,1,1.0
ORD,2023-09-11,1,76,1,1.0
ORD,2023-09-17,1,3,1,1.0
ORD,2023-09-19,1,118,1,1.0
ORD,2023-09-27,1,102,1,1.0
ORD,2023-09-29,1,5,1,1.0
ORD,2023-10-05,1,81,1,1.0
ORD,2023-10-06,1,18,1,1.0
ORD,2023-10-10,1,11,1,1.0
ORD,2023-10-11,1,43,1,1.0
ORD,2023-10-22,1,32,1,1.0
ORD,2023-10-28,1,93,1,1.0
ORD,2023-10-30,1,98,1,1.0
ORD,2023-11-01,1,64,1,1.0
ORD,2023-11-17,1,72,1,1.0
ORD,2023-11-19,2,139,2,1.0
ORD,2023-11-27,1,84,1,1.0
ORD,2023-12-05,1,63,1,1.0
ORD,2023-12-17,1,112,1,1.0
ORD,2023-12-26,1,17,1,1.0
ORD,2023-12-30,1,99,1,1.0
