booking_id,ticket_id,flight_id,booking_date,passenger_count,booking_channel,fare_class_id,base_price,cancellation_fee,baggage_allowance,effective_date,end_date,current_flag
B000045,Y,F0481,2023-08-16,3,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000046,F,F0008,2023-08-23,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000047,Y,F0293,2023-02-16,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000048,W,F0054,2022-12-07,3,TravelAgency,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000049,Y,F0281,2023-05-17,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000050,F,F0342,2023-01-31,1,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000051,W,F0364,2023-10-21,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000052,W,F0193,2023-09-26,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000053,F,F0309,2023-09-05,1,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000054,Y,F0394,2023-08-16,2,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000055,Y,F0075,2023-10-31,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000056,Y,F0258,2023-09-11,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000057,F,F0303,2023-11-23,2,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000058,Y,F0442,2023-02-26,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000059,W,F0045,2023-06-20,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000060,W,F0272,2023-03-28,3,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000061,W,F0122,2023-06-20,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000062,Y,F0227,2023-07-29,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000063,W,F0467,2023-04-06,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000064,W,F0436,2023-04-23,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000065,F,F0234,2023-01-24,3,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000066,W,F0171,2023-12-15,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000067,W,F0018,2023-02-14,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000068,W,F0153,2023-10-12,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000069,Y,F0203,2023-01-28,3,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000070,W,F0038,2023-08-21,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000071,F,F0493,2023-04-15,2,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000072,W,F0400,2023-08-09,2,Online,W,254.7,118.43,30,2023-06-28,,Y
B000073,W,F0107,2023-08-11,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000074,F,F0468,2023-06-24,3,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000075,Y,F0432,2023-06-19,1,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000076,W,F0440,2023-07-11,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000077,Y,F0362,2023-09-18,2,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000078,F,F0088,2023-05-19,1,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000079,Y,F0037,2023-01-07,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000080,W,F0093,2023-11-19,1,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000081,Y,F0015,2023-05-05,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000082,Y,F0276,2023-03-06,1,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000083,W,F0037,2023-01-25,3,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000084,F,F0490,2023-05-07,1,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000085,Y,F0288,2022-12-06,3,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000086,Y,F0316,2023-01-16,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000087,Y,F0433,2023-01-14,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000088,Y,F0148,2023-09-16,3,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000089,F,F0161,2023-07-29,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000090,Y,F0312,2023-09-15,3,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000091,W,F0092,2023-06-21,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000092,Y,F0205,2023-01-10,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000093,W,F0181,2023-04-08,2,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000094,W,F0447,2023-03-08,3,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000095,F,F0407,2023-12-14,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000096,Y,F0334,2023-09-11,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000097,Y,F0247,2022-12-18,1,MobileApp,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000098,Y,F0414,2023-06-01,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000099,W,F0282,2023-02-07,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000100,Y,F0084,2023-08-13,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000101,F,F0491,2023-10-11,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000102,Y,F0021,2023-05-13,3,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000103,W,F0260,2023-01-21,1,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000104,Y,F0335,2023-01-22,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000105,F,F0421,2022-11-14,2,MobileApp,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000106,F,F0334,2023-08-20,3,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000107,F,F0378,2023-02-26,1,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000108,Y,F0204,2023-02-12,3,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000109,Y,F0237,2023-10-25,3,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000110,F,F0402,2023-05-17,1,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000111,F,F0339,2022-11-19,2,Online,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000112,F,F0116,2023-12-22,1,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000113,W,F0094,2023-10-28,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000114,Y,F0365,2023-03-12,1,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000115,F,F0183,2023-05-07,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000116,Y,F0439,2023-09-13,2,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000117,F,F0297,2023-05-12,3,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000118,F,F0019,2023-08-15,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000119,W,F0232,2023-01-02,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000120,W,F0357,2023-06-15,2,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000121,Y,F0084,2023-08-27,3,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000122,W,F0368,2023-06-30,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000123,W,F0063,2023-07-13,2,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000124,F,F0316,2023-01-20,2,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000125,Y,F0278,2023-01-24,3,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000126,F,F0085,2023-10-16,1,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000127,W,F0223,2023-03-31,2,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000128,W,F0087,2023-09-12,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000129,F,F0141,2023-11-21,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000130,W,F0056,2023-08-17,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000131,W,F0127,2023-12-01,2,Online,W,254.7,118.43,30,2023-06-28,,Y
B000132,W,F0065,2023-07-17,2,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000133,W,F0299,2023-08-06,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000134,W,F0172,2023-08-09,2,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000135,Y,F0154,2023-06-22,1,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000136,W,F0188,2023-02-05,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000137,W,F0360,2023-09-02,1,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000138,Y,F0167,2022-12-27,1,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000139,Y,F0029,2023-11-23,1,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000140,F,F0459,2023-11-03,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000141,F,F0195,2023-02-28,3,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000142,W,F0058,2022-12-04,1,MobileApp,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000143,Y,F0361,2023-07-25,2,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000144,Y,F0111,2022-11-30,3,Online,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000145,Y,F0011,2023-05-14,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000146,F,F0366,2023-10-22,3,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000147,F,F0494,2023-07-28,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000148,W,F0030,2023-09-06,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000149,Y,F0043,2023-06-28,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000150,Y,F0087,2023-09-06,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000151,Y,F0150,2022-12-15,2,MobileApp,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000152,Y,F0267,2022-12-23,3,MobileApp,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000153,Y,F0312,2023-08-31,2,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000154,Y,F0138,2023-03-06,3,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000155,F,F0260,2023-02-13,1,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000156,W,F0231,2023-04-15,1,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000157,W,F0157,2023-10-30,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000158,F,F0006,2023-07-23,1,Online,F,224.89,27.25,20,2023-06-28,,Y
B000159,W,F0006,2023-08-20,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000160,F,F0313,2023-05-29,3,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000161,F,F0299,2023-09-19,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000162,W,F0081,2023-07-10,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000163,Y,F0351,2023-03-06,2,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000164,Y,F0171,2023-12-17,2,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000165,F,F0325,2022-12-30,2,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000166,F,F0500,2023-05-26,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000167,F,F0333,2023-01-11,2,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000168,W,F0197,2023-11-17,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000169,Y,F0133,2022-11-12,2,Online,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000170,F,F0044,2023-03-23,1,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000171,W,F0182,2023-08-05,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000172,Y,F0196,2023-09-19,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000173,W,F0470,2023-09-28,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000174,F,F0181,2023-03-25,1,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000175,F,F0038,2023-08-14,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000176,F,F0105,2023-01-02,1,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000177,F,F0090,2023-09-23,1,Online,F,224.89,27.25,20,2023-06-28,,Y
B000178,Y,F0217,2022-12-10,1,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000179,W,F0277,2023-03-05,1,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000180,F,F0261,2023-03-16,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000181,W,F0146,2023-02-04,3,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000182,F,F0189,2023-06-14,3,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000183,Y,F0344,2023-07-11,3,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000184,Y,F0318,2023-02-23,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000185,W,F0301,2023-10-11,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000186,F,F0103,2022-12-16,3,Online,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000187,W,F0392,2023-02-01,2,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000188,F,F0214,2023-02-02,2,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000189,W,F0260,2023-02-03,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000190,Y,F0275,2023-04-26,1,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000191,W,F0171,2023-10-30,1,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000192,Y,F0389,2023-08-11,3,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000193,W,F0341,2023-06-08,3,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000194,W,F0006,2023-08-29,2,Online,W,254.7,118.43,30,2023-06-28,,Y
B000195,W,F0316,2023-01-03,3,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000196,F,F0303,2023-10-26,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000197,Y,F0333,2022-11-20,1,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000198,Y,F0122,2023-07-17,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000199,Y,F0068,2023-03-27,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000200,Y,F0259,2023-09-11,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000201,F,F0275,2023-06-12,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000202,W,F0219,2023-08-07,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000203,Y,F0245,2023-10-30,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000204,Y,F0150,2023-01-06,3,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000205,F,F0259,2023-09-05,1,Online,F,224.89,27.25,20,2023-06-28,,Y
B000206,W,F0275,2023-06-12,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000207,Y,F0308,2023-11-02,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000208,F,F0429,2023-03-03,3,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000209,W,F0262,2023-06-22,1,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000210,Y,F0174,2022-12-14,2,MobileApp,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000211,F,F0115,2023-07-27,2,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000212,F,F0062,2023-08-08,1,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000213,F,F0256,2022-12-10,2,Online,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000214,W,F0490,2023-05-03,1,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000215,Y,F0020,2023-07-31,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000216,F,F0101,2023-01-15,2,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000217,W,F0286,2023-09-30,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000218,Y,F0288,2022-12-21,1,Online,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000219,W,F0115,2023-08-04,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000220,Y,F0003,2023-10-10,2,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000221,F,F0292,2023-09-16,1,Online,F,224.89,27.25,20,2023-06-28,,Y
B000222,W,F0195,2023-03-24,3,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000223,F,F0490,2023-05-28,1,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000224,F,F0196,2023-10-19,1,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000225,F,F0271,2023-03-09,3,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000226,F,F0056,2023-07-23,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000227,W,F0267,2023-02-16,1,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000228,W,F0321,2023-02-11,2,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000229,F,F0157,2023-10-03,3,Online,F,224.89,27.25,20,2023-06-28,,Y
B000230,W,F0355,2023-03-30,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000231,W,F0334,2023-09-16,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000232,Y,F0357,2023-05-18,1,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000233,Y,F0130,2022-12-11,1,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000234,F,F0090,2023-09-23,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000235,W,F0037,2023-01-17,3,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000236,W,F0070,2022-12-25,3,Online,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000237,W,F0001,2023-02-18,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000238,Y,F0463,2023-01-15,1,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000239,F,F0388,2023-02-03,3,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000240,W,F0085,2023-11-25,2,Online,W,254.7,118.43,30,2023-06-28,,Y
B000241,Y,F0030,2023-09-15,2,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000242,Y,F0295,2023-09-17,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000243,W,F0294,2022-11-27,2,MobileApp,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000244,Y,F0098,2023-08-03,1,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000245,F,F0367,2023-01-25,2,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000246,F,F0265,2023-07-19,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000247,Y,F0248,2023-06-25,3,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000248,W,F0307,2023-11-11,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000249,F,F0185,2023-08-30,2,Online,F,224.89,27.25,20,2023-06-28,,Y
B000250,W,F0190,2023-01-14,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000251,F,F0270,2023-03-31,2,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000252,F,F0008,2023-09-11,3,Online,F,224.89,27.25,20,2023-06-28,,Y
B000253,Y,F0116,2023-11-15,2,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000254,Y,F0386,2023-01-30,1,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000255,F,F0443,2023-09-07,3,Online,F,224.89,27.25,20,2023-06-28,,Y
B000256,Y,F0243,2023-06-02,2,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000257,F,F0445,2023-03-27,2,MobileApp,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000258,W,F0346,2022-12-10,1,Online,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000259,F,F0364,2023-10-31,2,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000260,Y,F0252,2022-11-11,3,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000261,F,F0311,2023-10-30,3,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000262,Y,F0062,2023-07-06,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000263,W,F0414,2023-06-12,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000264,W,F0350,2023-05-02,3,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000265,W,F0290,2023-09-28,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000266,Y,F0479,2023-10-10,2,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000267,Y,F0378,2023-02-21,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000268,F,F0183,2023-06-08,2,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000269,Y,F0400,2023-10-02,3,Online,Y,582.54,34.44,30,2023-06-28,,Y
B000270,W,F0169,2022-12-30,1,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000271,W,F0182,2023-07-23,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000272,Y,F0228,2023-07-04,1,Online,Y,582.54,34.44,30,2023-06-28,,Y
