date_id,full_date,year,quarter,month,day,day_of_week
309,2025-04-06,2025,2,4,6,7
310,2025-04-07,2025,2,4,7,1
311,2025-04-08,2025,2,4,8,2
312,2025-04-09,2025,2,4,9,3
313,2025-04-10,2025,2,4,10,4
314,2025-04-11,2025,2,4,11,5
315,2025-04-12,2025,2,4,12,6
316,2025-04-13,2025,2,4,13,7
317,2025-04-14,2025,2,4,14,1
318,2025-04-15,2025,2,4,15,2
319,2025-04-16,2025,2,4,16,3
320,2025-04-17,2025,2,4,17,4
321,2025-04-18,2025,2,4,18,5
322,2025-04-19,2025,2,4,19,6
323,2025-04-20,2025,2,4,20,7
324,2025-04-21,2025,2,4,21,1
325,2025-04-22,2025,2,4,22,2
326,2025-04-23,2025,2,4,23,3
327,2025-04-24,2025,2,4,24,4
328,2025-04-25,2025,2,4,25,5
329,2025-04-26,2025,2,4,26,6
330,2025-04-27,2025,2,4,27,7
331,2025-04-28,2025,2,4,28,1
332,2025-04-29,2025,2,4,29,2
333,2025-04-30,2025,2,4,30,3
334,2025-05-01,2025,2,5,1,4
335,2025-05-02,2025,2,5,2,5
336,2025-05-03,2025,2,5,3,6
337,2025-05-04,2025,2,5,4,7
338,2025-05-05,2025,2,5,5,1
339,2025-05-06,2025,2,5,6,2
340,2025-05-07,2025,2,5,7,3
341,2025-05-08,2025,2,5,8,4
342,2025-05-09,2025,2,5,9,5
343,2025-05-10,2025,2,5,10,6
344,2025-05-11,2025,2,5,11,7
345,2025-05-12,2025,2,5,12,1
346,2025-05-13,2025,2,5,13,2
347,2025-05-14,2025,2,5,14,3
348,2025-05-15,2025,2,5,15,4
349,2025-05-16,2025,2,5,16,5
350,2025-05-17,2025,2,5,17,6
351,2025-05-18,2025,2,5,18,7
352,2025-05-19,2025,2,5,19,1
353,2025-05-20,2025,2,5,20,2
354,2025-05-21,2025,2,5,21,3
355,2025-05-22,2025,2,5,22,4
356,2025-05-23,2025,2,5,23,5
357,2025-05-24,2025,2,5,24,6
358,2025-05-25,2025,2,5,25,7
359,2025-05-26,2025,2,5,26,1
360,2025-05-27,2025,2,5,27,2
361,2025-05-28,2025,2,5,28,3
362,2025-05-29,2025,2,5,29,4
363,2025-05-30,2025,2,5,30,5
364,2025-05-31,2025,2,5,31,6
365,2025-06-01,2025,2,6,1,7
366,2025-06-02,2025,2,6,2,1
