airport_id,airport_code,latitude,longitude
117,QCZ,-78.278957,-145.142387
118,QGE,-85.849905,28.530526
119,QHW,-84.719672,176.884712
120,QSG,-53.810982,-66.359975
121,QSY,-22.870416,94.721846
122,QVT,-38.744503,-43.748265
123,QWX,-24.080894,67.509152
124,RKH,-15.302367,-114.678643
125,RKN,-24.247062,42.389745
126,RPL,-25.732386,-111.570219
127,RRA,-49.247745,-119.408812
128,RUS,71.473292,127.447193
129,SAD,76.96715,-85.725962
130,SCQ,-58.586931,113.108273
131,SGI,86.785061,-42.433394
132,SHZ,-80.876564,85.053899
133,SOT,87.387594,-71.707768
134,SSD,-57.61903,156.574763
135,SVQ,-13.806876,-42.314674
136,SWK,-81.297414,-11.226784
137,SXD,34.217745,125.53005
138,SYJ,84.961532,-17.239291
139,SYV,19.354921,0.183268
140,TBK,56.825552,84.205137
141,TFO,-86.237846,-176.305875
142,TGQ,-11.89983,-49.229402
143,TJH,58.691425,-9.320043
144,TKP,53.656233,-148.310137
145,TPM,-5.204441,-56.821978
146,TPR,35.676469,-116.614873
147,TRM,-50.259091,37.982302
148,TTC,-1.778724,22.409565
149,TYN,-10.266939,164.975787
150,UCG,25.446557,56.330833
151,UIK,87.048589,116.344096
152,UJH,81.794763,-48.923488
153,ULF,34.909402,-119.240599
154,UNP,21.710931,66.97167
155,UPK,66.000345,-55.407039
156,UQS,82.099302,-165.869093
157,UTU,7.236141,-125.193943
158,VBH,33.697021,137.552719
159,VEM,-55.900114,178.456982
160,VEW,57.055376,128.755866
161,VJX,-84.652561,-68.780108
162,VOB,-49.15902,-71.245147
163,VOT,46.478528,-105.598069
164,VQO,-71.046821,123.160796
165,VRF,-49.244603,-109.837967
166,VRY,61.892183,-126.961326
167,WEH,-69.790153,-116.493642
168,WFQ,12.996489,164.729308
169,WJU,2.948711,21.382719
170,WMV,35.919118,64.489156
171,WOS,12.966636,117.169914
172,WSG,-49.3345,-169.056561
173,WVO,30.576382,101.036565
174,WWH,24.331967,-8.954132
175,XBA,-2.731381,15.151139
176,XDC,-4.87069,-19.297387
177,XLM,-75.965254,-115.92572
178,XMY,34.247177,146.557875
179,XNE,68.515926,-86.130123
180,XQY,36.114651,71.200515
181,XSH,-61.41113,-148.935398
182,XSR,52.515019,-30.873105
183,XZH,-5.558139,121.628587
184,YEA,53.827238,-114.667553
185,YGI,-19.070762,28.94166
186,YKH,87.003826,102.804475
187,YLP,60.020435,90.775801
188,YTP,-11.21187,39.793989
189,YTU,40.872464,-2.058631
190,YUO,-50.632783,-158.317636
191,YWI,64.58976,3.343758
192,YXJ,0.719169,-47.252902
193,YXR,12.6294,-99.736542
194,ZEQ,-55.50794,67.572424
195,ZGO,16.964186,-16.465288
196,ZTC,-53.498522,24.546375
197,ZWL,45.845106,-34.513371
198,ZXR,37.783605,-50.637379
