flight_id,airport,gate,delay_minutes,delay_flag,on_time_flag,hour_of_day,day_of_week,Engine Temperature,Fuel Level,Vibration,Air Pressure,Airspeed,avg_temperature_flight,max_temperature_flight,avg_wind_speed_flight,max_wind_speed_flight,predominant_wind_direction,pct_rain_events,num_weather_points,total_ticket_revenue,total_passenger_count,num_bookings,flight_duration
F0027,ATL,ATL_G7,8.0,0,1,0,3,620.62,57.65,3.986666666666667,97.41,525.38,9.7,22.5,85.89999999999999,125.4,E,0.0,3,961.5899999999999,9.0,3.0,120.0
F0029,JFK,JFK_G7,55.0,1,0,18,6,574.79,64.785,0.04,104.03,430.51,14.475,27.7,30.200000000000003,80.7,S,0.5,4,2239.71,15.0,4.0,240.0
F0030,LAX,LAX_G8,59.0,1,0,10,5,686.66,78.91,,93.50999999999999,371.53499999999997,14.74,25.1,62.925,110.0,N,0.2,5,2615.24,8.0,4.0,60.0
F0032,DFW,DFW_G9,49.0,1,0,20,6,591.385,59.92,1.8599999999999999,107.52,478.7,10.16,22.9,85.46,136.7,W,0.0,5,1712.27,9.0,5.0,240.0
F0033,JFK,JFK_G6,40.0,1,0,6,1,521.0,74.24,3.17,105.4,445.44,8.7,22.5,74.6,142.1,E,0.5,4,0.0,0.0,0.0,180.0
F0034,JFK,JFK_G3,43.0,1,0,19,3,674.12,68.69666666666667,2.9133333333333336,102.25666666666666,444.695,13.450000000000001,26.6,47.95,99.9,SE,0.0,4,1504.8,8.0,3.0,240.0
F0035,JFK,JFK_G10,11.0,0,1,7,3,571.57,63.625,2.125,98.36,583.95,11.025,18.0,76.025,112.7,SW,0.0,4,2136.2,10.0,3.0,180.0
F0036,ATL,ATL_G3,9.0,0,1,20,5,575.54,50.24,0.28,105.36500000000001,485.0,-7.275,7.9,48.925,79.3,E,0.25,4,2260.4300000000003,12.0,4.0,300.0
F0037,ORD,ORD_G1,18.0,0,0,18,0,613.2333333333332,82.90333333333332,4.82,105.75,460.51,-6.08,4.1,88.56,134.4,E,0.3333333333333333,6,1917.51,8.0,3.0,60.0
F0039,DFW,DFW_G1,25.0,0,0,7,0,598.4266666666666,50.086666666666666,2.9233333333333333,100.00999999999999,473.03,0.7000000000000002,17.8,119.575,146.6,N,0.25,4,391.38,2.0,1.0,120.0
F0040,JFK,JFK_G7,51.0,1,0,15,5,620.1533333333333,86.72,2.72,99.39999999999999,552.0533333333333,20.34,29.9,78.53333333333333,147.7,S,0.3333333333333333,6,1527.17,8.0,3.0,120.0
F0041,LAX,LAX_G9,59.0,1,0,10,6,595.55,87.955,3.9200000000000004,106.81,398.25,0.13333333333333344,21.3,30.860000000000003,76.9,E,0.5,6,1835.6399999999999,9.0,4.0,180.0
F0042,ATL,ATL_G4,56.0,1,0,21,5,550.485,76.58,1.95,101.61666666666667,548.1800000000001,-0.7750000000000004,6.6,74.25,137.6,W,0.0,4,1170.28,5.0,4.0,120.0
F0043,ORD,ORD_G6,0.0,0,1,0,3,586.4949999999999,78.58500000000001,3.9800000000000004,102.845,549.865,2.1,18.0,84.66666666666667,138.7,SE,0.0,6,993.66,4.0,1.0,120.0
F0044,JFK,JFK_G7,44.0,1,0,16,4,606.2,62.75,4.21,103.66,399.65,0.5249999999999995,16.9,48.05,84.1,N,0.5,4,1044.4299999999998,3.0,2.0,240.0
F0045,LAX,LAX_G10,48.0,1,0,21,3,607.32,48.39,1.5566666666666666,90.74000000000001,505.05,0.8999999999999998,23.0,63.96666666666667,113.2,SE,0.3333333333333333,3,1950.71,5.0,3.0,300.0
F0046,ORD,ORD_G1,44.0,1,0,12,5,659.7266666666666,42.32,4.03,109.65,483.6233333333333,18.925,24.6,60.260000000000005,100.4,S,0.4,5,979.47,12.0,4.0,240.0
F0047,JFK,JFK_G9,20.0,0,0,10,1,573.955,46.595,0.37,103.03333333333335,330.94,-1.7799999999999998,24.9,51.025,82.5,E,0.4,5,787.36,3.0,1.0,240.0
F0048,ORD,ORD_G2,49.0,1,0,13,2,566.6966666666666,45.695,1.08,97.57333333333334,503.3666666666666,8.5,19.0,72.2,92.9,SW,0.0,4,3197.29,15.0,5.0,180.0
F0049,LAX,LAX_G3,14.0,0,1,21,6,535.8466666666667,80.2,2.545,103.41,467.4866666666667,2.675,18.2,75.82000000000001,105.5,SE,0.4,5,1992.47,6.0,3.0,120.0
F0050,JFK,JFK_G6,27.0,0,0,14,1,603.095,60.39,2.3699999999999997,98.98,386.98,7.766666666666666,27.9,58.625,124.9,E,0.16666666666666666,6,1859.8400000000001,11.0,4.0,120.0
F0051,LAX,LAX_G1,46.0,1,0,7,2,610.3299999999999,84.74000000000001,3.46,104.35,348.06,1.85,9.0,56.55,88.7,NE,0.25,4,529.13,2.0,1.0,60.0
F0052,DFW,DFW_G5,5.0,0,1,14,2,515.71,61.803333333333335,3.1666666666666665,102.44666666666667,552.4,7.1,22.7,111.8,131.8,E,0.5,4,1120.58,8.0,3.0,120.0
F0053,DFW,DFW_G9,22.0,0,0,2,3,526.37,51.19,2.4,102.37,443.27666666666664,-3.7249999999999996,20.0,53.02,105.5,NW,0.0,5,0.0,0.0,0.0,120.0
F0054,ATL,ATL_G6,55.0,1,0,5,0,622.4633333333333,86.62,2.8000000000000003,97.04,340.61,7.183333333333333,26.4,69.43333333333334,130.8,E,0.0,6,1267.71,8.0,3.0,300.0
F0055,LAX,LAX_G9,29.0,0,0,6,6,696.75,67.86,3.58,104.38666666666666,502.815,0.8000000000000004,18.9,42.0,77.1,N,0.2,5,209.19,2.0,1.0,60.0
F0056,ORD,ORD_G5,49.0,1,0,4,0,526.315,65.25,3.563333333333333,107.53,354.26,4.34,26.2,97.55,137.4,W,0.4,5,590.4200000000001,5.0,2.0,300.0
F0057,ATL,ATL_G4,57.0,1,0,2,3,599.43,78.98,1.8733333333333333,94.72,335.08,6.0,10.5,86.5,113.5,NE,0.0,4,481.90000000000003,6.0,2.0,60.0
F0058,ATL,ATL_G9,23.0,0,0,14,3,546.72,83.74000000000001,1.99,99.83500000000001,524.1766666666666,-14.233333333333334,-5.6,134.0,134.0,SW,0.0,3,2574.52,11.0,4.0,240.0
F0059,DFW,DFW_G1,17.0,0,0,3,6,601.77,83.815,1.5166666666666666,104.04499999999999,424.74,17.380000000000003,29.4,82.35999999999999,139.7,SW,0.2,5,3550.05,15.0,5.0,240.0
F0060,DFW,DFW_G1,39.0,1,0,6,5,548.31,34.215,1.7266666666666666,97.96,491.025,-0.2666666666666672,24.7,80.03333333333333,146.6,NE,0.0,6,0.0,0.0,0.0,120.0
F0061,DFW,DFW_G5,54.0,1,0,0,5,544.415,90.905,2.57,93.46,498.03999999999996,3.8333333333333335,23.0,91.58,149.6,N,0.0,6,1569.46,8.0,4.0,120.0
F0062,ATL,ATL_G8,3.0,0,1,20,0,575.22,49.004999999999995,1.64,102.315,470.6166666666666,0.4750000000000001,14.2,72.9,105.0,SW,0.2,5,948.05,6.0,2.0,60.0
F0063,DFW,DFW_G7,3.0,0,1,6,5,529.09,25.69,1.885,109.33,534.11,-1.5000000000000002,2.4,91.93333333333334,145.8,N,0.0,3,2074.85,14.0,5.0,60.0
F0064,ORD,ORD_G3,54.0,1,0,17,4,578.0999999999999,55.17,3.7350000000000003,101.05,452.9766666666667,6.074999999999999,19.0,60.949999999999996,107.3,E,0.0,4,858.33,2.0,1.0,60.0
F0065,ATL,ATL_G7,23.0,0,0,16,2,585.45,55.423333333333325,1.7333333333333334,107.07,345.06333333333333,3.6599999999999993,26.2,63.720000000000006,124.5,E,0.4,5,1767.0900000000001,10.0,3.0,180.0
F0066,ATL,ATL_G1,37.0,1,0,9,4,605.78,66.54,1.72,93.66,401.45,9.3,29.3,45.6,110.4,NE,0.2,5,0.0,0.0,0.0,240.0
F0067,LAX,LAX_G7,46.0,1,0,20,4,614.89,51.04,3.02,101.57,446.16,3.466666666666667,19.3,59.333333333333336,78.6,S,0.3333333333333333,3,1714.69,7.0,4.0,240.0
F0069,ATL,ATL_G8,33.0,1,0,8,2,634.0166666666668,59.239999999999995,2.6,97.51,384.8,3.5833333333333335,29.3,96.325,133.1,SW,0.0,6,2582.9100000000003,12.0,4.0,180.0
F0070,ATL,ATL_G2,14.0,0,1,14,3,567.4300000000001,83.88,2.465,98.92,471.4533333333334,11.0,27.8,75.76666666666667,115.3,N,0.3333333333333333,3,0.0,0.0,0.0,180.0
F0071,LAX,LAX_G3,12.0,0,1,8,5,610.33,79.25,2.4333333333333336,90.21,495.43,3.7600000000000002,28.7,82.58,134.3,S,0.0,5,1384.96,9.0,3.0,240.0
F0072,LAX,LAX_G7,51.0,1,0,6,1,620.4333333333334,94.69999999999999,2.2333333333333334,98.075,447.355,-4.76,28.9,54.46,93.6,N,0.0,5,1612.16,11.0,4.0,60.0
F0073,ORD,ORD_G6,34.0,1,0,15,4,631.4466666666667,41.63,2.4333333333333336,101.1,309.39,-6.233333333333334,17.2,77.44,123.7,NE,0.5,6,1371.6799999999998,6.0,3.0,60.0
F0074,ORD,ORD_G3,28.0,0,0,20,5,593.3,36.44,1.81,100.61500000000001,492.08666666666664,8.35,25.0,66.05,141.5,W,0.16666666666666666,6,924.65,2.0,1.0,300.0
F0075,ORD,ORD_G6,33.0,1,0,0,6,692.99,22.88,1.66,95.81,417.38,9.35,29.2,77.1,126.8,N,0.0,4,1272.44,9.0,3.0,300.0
F0076,JFK,JFK_G5,46.0,1,0,21,1,592.0133333333333,85.32,2.39,105.99000000000001,370.71,10.375,26.7,43.26666666666667,51.8,W,0.0,4,2625.85,12.0,4.0,120.0
F0077,DFW,DFW_G7,13.0,0,1,18,3,531.21,56.68333333333334,1.98,92.005,444.125,0.5199999999999996,12.6,70.5,144.8,E,0.0,5,334.11,4.0,1.0,60.0
F0078,ATL,ATL_G4,50.0,1,0,15,2,585.5866666666667,80.21,,98.33999999999999,406.57,6.283333333333332,20.9,61.166666666666664,109.9,E,0.16666666666666666,6,921.75,6.0,2.0,300.0
F0079,ORD,ORD_G3,54.0,1,0,22,5,504.05,65.49333333333333,0.91,,523.895,-5.3,16.7,60.06666666666667,135.8,N,0.3333333333333333,3,3422.44,12.0,4.0,180.0
F0080,ATL,ATL_G10,18.0,0,0,16,5,597.365,45.85,3.4933333333333336,98.38666666666666,387.29333333333335,0.13333333333333344,14.9,71.06666666666666,97.7,SE,0.3333333333333333,3,2398.18,11.0,4.0,60.0
F0082,ORD,ORD_G8,26.0,0,0,19,0,568.8866666666667,22.95,1.07,98.92666666666666,480.76666666666665,4.64,25.0,34.96,103.0,NW,0.16666666666666666,6,1580.3500000000001,9.0,3.0,180.0
F0083,LAX,LAX_G9,56.0,1,0,11,6,,46.00333333333333,3.3,101.19,467.15,20.266666666666666,27.4,83.26666666666667,143.2,NE,0.6666666666666666,3,2601.56,11.0,5.0,300.0
F0084,LAX,LAX_G4,39.0,1,0,4,1,610.41,43.43333333333334,3.5400000000000005,101.08,441.77,7.983333333333333,19.7,64.55,125.4,NW,0.3333333333333333,6,2083.2200000000003,10.0,3.0,300.0
F0085,JFK,JFK_G4,41.0,1,0,3,3,543.96,37.94,0.835,95.97,507.19500000000005,-5.54,19.1,54.8,80.3,N,0.0,5,0.0,0.0,0.0,60.0
F0086,JFK,JFK_G7,23.0,0,0,1,0,555.425,67.64666666666666,1.8900000000000001,98.01666666666667,515.925,-1.4666666666666668,15.6,71.36666666666667,104.4,E,0.0,3,2993.59,17.0,5.0,180.0
F0089,ORD,ORD_G10,6.0,0,1,16,3,547.9033333333333,76.88,2.45,96.435,395.28,-4.159999999999999,28.6,64.36,111.3,E,0.4,5,1819.57,8.0,3.0,240.0
F0090,ORD,ORD_G3,50.0,1,0,12,4,580.6833333333333,33.715,3.32,96.66333333333334,382.08,-8.8,3.4,85.17999999999999,132.2,E,0.0,5,0.0,0.0,0.0,300.0
F0091,ORD,ORD_G9,39.0,1,0,11,0,547.7133333333333,90.2,2.0500000000000003,95.49000000000001,361.64,5.966666666666666,12.4,108.23333333333333,144.9,E,0.6666666666666666,3,0.0,0.0,0.0,120.0
F0092,ATL,ATL_G5,10.0,0,1,12,1,640.0866666666666,55.58,0.375,92.22,472.07,9.78,22.0,84.10000000000001,111.8,N,0.3333333333333333,6,465.27,3.0,1.0,120.0
F0093,LAX,LAX_G8,8.0,0,1,7,6,602.695,69.02,2.7649999999999997,95.34,460.4866666666667,9.866666666666665,28.2,50.15,81.1,SW,0.0,6,477.18,4.0,1.0,180.0
F0094,LAX,LAX_G2,47.0,1,0,7,2,574.5250000000001,79.715,1.955,108.25666666666666,377.8866666666667,15.433333333333332,21.9,87.15,114.7,NE,0.0,4,1923.34,15.0,4.0,240.0
F0095,DFW,DFW_G9,50.0,1,0,15,3,595.11,56.894999999999996,4.36,104.92,530.05,0.39999999999999974,27.9,108.8,148.8,NE,0.3333333333333333,3,1467.02,6.0,3.0,240.0
F0096,LAX,LAX_G6,40.0,1,0,4,5,623.2033333333333,37.73666666666667,2.81,101.18333333333334,460.83,15.16,28.4,52.12500000000001,131.3,E,0.2,5,0.0,0.0,0.0,180.0
F0097,ORD,ORD_G8,40.0,1,0,8,2,621.58,82.04,3.04,,466.57,11.700000000000001,23.9,68.60000000000001,136.4,N,0.0,3,2781.59,7.0,5.0,180.0
F0098,ORD,ORD_G8,11.0,0,1,19,0,562.03,57.645,1.54,100.63333333333333,506.795,5.9399999999999995,29.7,64.22,105.8,SW,0.4,5,2051.64,7.0,3.0,120.0
F0099,LAX,LAX_G9,49.0,1,0,7,4,590.665,85.67,2.846666666666667,98.54666666666667,354.33,8.82,25.0,80.02000000000001,125.4,E,0.2,5,577.33,3.0,2.0,300.0
F0100,ATL,ATL_G6,59.0,1,0,9,1,600.06,92.29,2.1766666666666667,105.92,463.6966666666667,3.8333333333333335,20.2,40.800000000000004,47.7,S,0.0,3,863.0,6.0,2.0,120.0
F0101,ORD,ORD_G10,11.0,0,1,4,5,687.67,63.14000000000001,4.87,96.09,482.73,10.816666666666668,15.7,81.33333333333334,137.3,SE,0.3333333333333333,6,677.96,3.0,1.0,180.0
F0102,ORD,ORD_G3,53.0,1,0,22,2,574.2433333333333,51.58,3.2,97.49000000000001,487.34,15.366666666666667,28.3,25.983333333333334,64.9,S,0.16666666666666666,6,0.0,0.0,0.0,60.0
F0103,ATL,ATL_G3,8.0,0,1,13,0,,48.120000000000005,1.92,98.19,465.96,10.625,21.8,62.325,119.0,E,0.0,4,1269.3,5.0,2.0,300.0
F0104,DFW,DFW_G3,54.0,1,0,12,3,552.77,44.239999999999995,1.4,105.67,463.9666666666667,-2.5399999999999996,9.8,68.51666666666667,100.0,N,0.0,6,1107.88,6.0,2.0,120.0
F0105,JFK,JFK_G5,11.0,0,1,9,4,656.02,50.37,3.78,98.86,472.54499999999996,4.183333333333334,23.0,69.58,143.4,N,0.3333333333333333,6,2166.34,10.0,4.0,180.0
F0106,JFK,JFK_G3,42.0,1,0,17,6,510.78,67.02,3.465,93.15,376.14,6.425000000000001,20.6,79.1,145.9,W,0.0,4,1950.48,10.0,4.0,180.0
F0107,ORD,ORD_G10,17.0,0,0,2,0,675.59,61.035000000000004,3.2733333333333334,99.88,,-6.183333333333334,15.4,65.48333333333333,99.4,NE,0.5,6,1901.14,14.0,5.0,300.0
F0108,ATL,ATL_G7,55.0,1,0,19,3,586.75,34.17333333333334,1.5350000000000001,94.79,592.78,-1.7799999999999994,29.1,64.55,145.7,NE,0.3333333333333333,6,0.0,0.0,0.0,180.0
F0109,JFK,JFK_G10,57.0,1,0,22,0,641.99,58.85,1.2650000000000001,105.1,423.43666666666667,7.279999999999999,26.0,94.2,136.8,NE,0.0,6,1032.44,3.0,2.0,240.0
F0110,DFW,DFW_G7,46.0,1,0,11,6,596.03,49.495000000000005,2.45,,485.16499999999996,12.625,18.2,76.025,125.7,N,0.25,4,0.0,0.0,0.0,60.0
F0111,LAX,LAX_G8,15.0,0,1,0,3,615.6800000000001,67.34,2.7600000000000002,101.83666666666666,361.51,8.959999999999999,25.5,89.925,113.7,N,0.2,5,1748.45,10.0,3.0,300.0
F0112,JFK,JFK_G7,27.0,0,0,11,4,588.97,53.785,4.7,97.09333333333332,465.2133333333333,12.566666666666668,19.6,77.16666666666667,90.1,N,0.3333333333333333,3,1071.13,10.0,3.0,120.0
F0113,LAX,LAX_G8,37.0,1,0,9,5,526.4300000000001,72.62,3.9933333333333336,97.91,328.37,0.3333333333333333,17.1,66.93333333333334,92.3,E,0.0,3,2932.0,18.0,5.0,300.0
F0114,ORD,ORD_G10,33.0,1,0,20,1,649.25,,5.0,94.625,474.37,21.15,29.2,77.65,112.9,S,0.25,4,2376.35,11.0,5.0,120.0
F0116,ATL,ATL_G1,38.0,1,0,12,5,573.895,93.67,3.7133333333333334,95.42666666666668,371.01,-2.96,10.2,67.67999999999999,123.9,E,0.3333333333333333,6,891.78,6.0,2.0,60.0
F0117,LAX,LAX_G1,29.0,0,0,20,2,548.6866666666666,62.685,2.5866666666666664,103.64333333333333,482.29999999999995,13.833333333333334,29.7,78.45,127.6,N,0.0,4,2470.11,9.0,3.0,120.0
F0118,ATL,ATL_G4,5.0,0,1,7,4,695.015,54.20333333333334,1.2433333333333334,99.285,449.5466666666666,-0.36000000000000015,12.0,10.95,20.6,N,0.0,5,1727.42,8.0,3.0,180.0
F0119,ATL,ATL_G2,36.0,1,0,15,0,618.325,25.36,2.1366666666666667,107.5,440.05,0.9666666666666667,26.6,84.14999999999999,148.5,NE,0.16666666666666666,6,0.0,0.0,0.0,60.0
F0120,LAX,LAX_G5,4.0,0,1,22,3,559.29,37.03,3.9299999999999997,99.38,448.0733333333333,-3.5,24.5,64.61666666666667,99.7,N,0.16666666666666666,6,306.01,3.0,1.0,240.0
F0121,JFK,JFK_G8,28.0,0,0,8,5,637.12,73.01,4.306666666666667,104.11666666666667,314.9,8.2,19.6,88.53999999999999,113.1,E,0.4,5,467.75,6.0,2.0,60.0
F0122,ORD,ORD_G5,51.0,1,0,13,4,652.84,44.06,1.19,94.58,438.76,10.76,27.2,56.660000000000004,136.6,S,0.2,5,2313.44,10.0,4.0,240.0
F0124,ORD,ORD_G3,24.0,0,0,16,1,573.54,95.32,0.455,103.92,498.34000000000003,-1.7499999999999996,8.4,63.4,124.3,SE,0.0,4,1337.52,6.0,2.0,60.0
F0125,JFK,JFK_G4,48.0,1,0,10,4,,45.89,2.7,91.18,365.21,7.216666666666666,24.3,69.675,142.3,N,0.3333333333333333,6,0.0,0.0,0.0,240.0
F0126,ATL,ATL_G4,10.0,0,1,20,4,680.2149999999999,25.53,1.92,95.91499999999999,512.06,19.333333333333332,28.2,80.84,110.7,NW,0.3333333333333333,6,0.0,0.0,0.0,300.0
F0127,LAX,LAX_G2,17.0,0,0,1,4,586.4633333333333,55.25,,101.68,443.42,9.875,26.8,59.720000000000006,138.3,NE,0.2,5,575.32,1.0,1.0,120.0
F0128,LAX,LAX_G6,22.0,0,0,6,5,616.39,47.99,2.6733333333333333,,434.69666666666666,-0.5333333333333335,24.7,105.63333333333333,144.2,N,0.0,6,1135.94,3.0,2.0,180.0
F0129,LAX,LAX_G10,36.0,1,0,5,3,615.1133333333333,48.30666666666667,2.6933333333333334,105.97,391.03666666666663,13.075000000000001,19.6,47.8,140.6,NW,0.4,5,1977.62,10.0,5.0,300.0
F0130,DFW,DFW_G1,15.0,0,1,0,4,509.56,33.73,3.0033333333333334,96.075,442.8,13.1,26.1,81.0,124.9,NW,0.0,3,2233.17,7.0,4.0,120.0
F0131,LAX,LAX_G9,22.0,0,0,18,5,679.07,65.33666666666666,2.5500000000000003,99.62666666666667,487.51666666666665,7.016666666666666,29.9,58.5,146.3,N,0.16666666666666666,6,151.63,3.0,1.0,120.0
F0132,ORD,ORD_G6,57.0,1,0,20,4,609.3666666666667,78.955,1.2433333333333334,100.57,511.09,15.166666666666666,26.4,67.2,113.1,SE,0.3333333333333333,3,1700.12,10.0,4.0,60.0
F0133,ORD,ORD_G8,52.0,1,0,0,3,636.58,81.04,3.71,96.57,308.0,-4.625,9.7,106.33333333333333,117.9,E,0.5,4,2279.42,8.0,4.0,180.0
F0134,DFW,DFW_G4,6.0,0,1,15,0,600.78,41.68,3.1633333333333336,105.7,599.08,-7.366666666666667,-1.6,105.36666666666667,142.5,NE,0.3333333333333333,3,3166.26,13.0,5.0,120.0
F0135,JFK,JFK_G8,18.0,0,0,20,4,610.81,62.06,1.7000000000000002,93.15,410.49,-3.0,11.3,110.8,141.1,E,0.0,5,1385.37,4.0,2.0,60.0
F0136,JFK,JFK_G8,13.0,0,1,1,3,549.19,47.725,3.3200000000000003,100.76666666666667,335.1466666666667,-3.7399999999999998,4.4,85.46000000000001,147.5,N,0.0,5,1781.75,3.0,3.0,60.0
F0137,DFW,DFW_G3,55.0,1,0,8,4,633.345,68.06,4.51,98.83666666666666,533.67,2.275,23.3,48.1,108.2,S,0.0,5,3391.52,13.0,5.0,120.0
F0138,ORD,ORD_G4,31.0,1,0,21,5,,76.82,3.89,100.555,307.18,1.85,18.9,88.0,127.4,NE,0.5,4,2585.54,13.0,5.0,120.0
F0139,JFK,JFK_G7,36.0,1,0,11,4,607.73,45.406666666666666,4.6,104.2,492.3033333333333,4.933333333333334,20.7,79.92,124.1,N,0.3333333333333333,6,3289.35,10.0,5.0,240.0
F0140,DFW,DFW_G5,39.0,1,0,12,3,586.2233333333334,48.795,0.96,96.07666666666667,472.44,2.0000000000000004,19.4,65.4,121.3,NE,0.0,4,2142.2599999999998,5.0,3.0,180.0
F0142,JFK,JFK_G1,47.0,1,0,14,6,589.76,69.00333333333333,2.0700000000000003,101.56666666666666,330.46,-3.575,16.1,79.725,122.3,W,0.25,4,1245.25,4.0,2.0,120.0
F0143,DFW,DFW_G9,42.0,1,0,0,4,573.13,46.580000000000005,1.06,103.265,315.76,14.580000000000002,29.9,83.6,136.9,SW,0.0,5,0.0,0.0,0.0,120.0
F0144,DFW,DFW_G4,53.0,1,0,8,3,656.51,93.37,,101.4,466.93,19.3,26.2,59.800000000000004,96.9,N,0.0,6,1204.81,10.0,4.0,120.0
F0146,ATL,ATL_G9,55.0,1,0,17,1,586.5,67.87,1.42,104.27,446.07,13.799999999999999,27.0,51.0,84.2,SE,0.25,4,2129.75,12.0,4.0,120.0
