flight_id,departure_time,arrival_time,delay_minutes,airport,branch,flight_date,city,state,temperature,weather_condition,Air Pressure,Airspeed,Engine Temperature,Fuel Level,Vibration,avg_temperature_flight,max_temperature_flight,avg_wind_speed_flight,max_wind_speed_flight,pct_rain_events,num_weather_points
F0021,2023-01-15 16:01:29,2023-01-15 21:01:29,24.0,JFK,Branch_C,2023-01-15,Chicago,IL,15.5,Cloudy,95.81,474.33666666666664,684.19,67.39999999999999,0.69,12.7,12.7,72.3,123.4,0.0,3
F0022,2023-05-14 11:39:48,2023-05-14 15:39:48,41.0,LAX,Branch_C,2023-05-14,Chicago,IL,7.6,Cloudy,102.28000000000002,569.85,588.53,52.625,2.61,2.1800000000000006,28.2,81.47999999999999,119.2,0.0,5
F0023,2023-10-18 14:49:56,2023-10-18 16:49:56,20.0,DFW,Branch_E,2023-10-18,Dallas,TX,20.5,Sunny,103.98,483.985,606.99,51.830000000000005,3.24,-0.7333333333333337,19.9,85.96666666666665,127.0,0.3333333333333333,3
F0024,2023-06-09 04:02:39,2023-06-09 09:02:39,13.0,ORD,Branch_E,2023-06-09,Dallas,TX,11.6,Clear,99.12,406.43,601.1466666666666,80.92999999999999,1.2850000000000001,6.92,18.2,81.16666666666667,108.8,0.0,6
F0026,2023-04-19 02:57:16,2023-04-19 07:57:16,46.0,DFW,Branch_D,2023-04-19,Atlanta,GA,22.6,Rain,95.64,581.99,625.65,54.489999999999995,4.033333333333333,1.4800000000000004,28.7,69.44,122.4,0.4,5
F0027,2023-02-02 03:23:30,2023-02-02 07:23:30,10.0,ATL,Branch_B,2023-02-02,Los Angeles,CA,12.1,Clear,100.41666666666667,464.645,,78.65666666666667,3.08,3.84,25.0,60.5,105.4,0.0,5
F0028,2023-09-25 11:03:28,2023-09-25 12:03:28,43.0,LAX,Branch_E,2023-09-25,Dallas,TX,11.3,Sunny,98.45,431.52,595.085,71.13,1.78,5.575,25.3,78.65,138.6,0.0,4
F0029,2023-04-08 11:34:47,2023-04-08 14:34:47,3.0,DFW,Branch_B,2023-04-08,Los Angeles,CA,6.3,Sunny,92.97,545.45,578.31,61.78333333333333,0.73,-0.04999999999999982,10.3,55.93333333333334,147.3,0.0,6
F0030,2023-06-28 02:13:21,2023-06-28 04:13:21,22.0,DFW,Branch_E,2023-06-28,Dallas,TX,28.2,Clear,93.055,499.76,544.6266666666667,71.84,2.345,2.45,21.0,74.96000000000001,131.6,0.4,5
F0031,2023-11-29 12:35:08,2023-11-29 13:35:08,11.0,ORD,Branch_E,2023-11-29,Dallas,TX,17.9,Clear,100.61,400.015,689.775,68.27,2.65,2.775000000000001,25.1,82.825,144.9,0.0,4
F0032,2023-07-07 16:03:39,2023-07-07 21:03:39,46.0,LAX,Branch_A,2023-07-07,New York,NY,12.6,Sunny,91.755,506.71,606.18,49.94,2.895,1.2833333333333332,21.7,31.520000000000003,67.2,0.0,6
F0033,2023-06-02 00:19:37,2023-06-02 04:19:37,25.0,LAX,Branch_C,2023-06-02,Chicago,IL,5.8,Cloudy,97.28333333333335,512.9649999999999,690.33,67.32,3.0933333333333337,-16.366666666666667,-12.2,86.86666666666667,143.3,0.0,3
F0034,2023-02-26 05:20:11,2023-02-26 09:20:11,11.0,ORD,Branch_D,2023-02-26,Atlanta,GA,8.2,Storm,95.895,568.01,628.6833333333334,73.87,2.73,3.8400000000000007,15.6,84.55999999999999,109.1,0.0,5
F0035,2023-01-26 11:28:15,2023-01-26 14:28:15,1.0,ATL,Branch_E,2023-01-26,Dallas,TX,24.6,Clear,106.25,484.95,615.9433333333333,65.42333333333333,1.43,6.94,29.7,103.52000000000001,149.5,0.6,5
F0037,2023-06-03 13:19:08,2023-06-03 16:19:08,16.0,JFK,Branch_A,2023-06-03,New York,NY,17.0,Clear,99.99666666666667,439.645,597.86,87.15,3.39,9.239999999999998,25.3,92.89999999999999,136.2,0.16666666666666666,6
F0038,2023-04-14 13:07:38,2023-04-14 15:07:38,27.0,LAX,Branch_E,2023-04-14,Dallas,TX,11.6,Storm,96.55,383.4666666666667,567.99,52.71,3.705,3.6500000000000004,29.1,44.699999999999996,50.2,0.0,4
F0039,2023-05-13 02:06:31,2023-05-13 07:06:31,50.0,LAX,Branch_A,2023-05-13,New York,NY,22.1,Storm,100.67666666666666,373.48,582.5699999999999,47.39,1.705,0.9799999999999998,25.6,77.225,140.8,0.2,5
F0040,2023-08-26 11:14:35,2023-08-26 15:14:35,33.0,JFK,Branch_A,2023-08-26,New York,NY,21.2,Storm,104.06,483.92,592.7733333333334,81.84,2.44,-5.733333333333333,-3.8,83.83333333333333,149.1,0.3333333333333333,3
F0041,2023-04-07 03:51:47,2023-04-07 06:51:47,14.0,DFW,Branch_D,2023-04-07,Atlanta,GA,16.5,Cloudy,102.60000000000001,363.81,569.5466666666667,54.375,2.49,17.4,20.1,64.23333333333333,147.8,0.0,4
F0043,2023-03-27 10:33:54,2023-03-27 12:33:54,18.0,LAX,Branch_B,2023-03-27,Los Angeles,CA,9.0,Sunny,94.46000000000001,472.52,542.345,63.98,0.45,9.16,23.6,63.583333333333336,127.4,0.16666666666666666,6
F0044,2023-07-09 03:17:23,2023-07-09 08:17:23,28.0,LAX,Branch_D,2023-07-09,Atlanta,GA,10.0,Clear,104.305,542.62,524.5666666666666,35.97,3.31,1.6999999999999993,24.9,69.96666666666667,140.5,0.3333333333333333,3
F0045,2023-02-15 23:54:03,2023-02-16 04:54:03,16.0,ORD,Branch_B,2023-02-15,Los Angeles,CA,26.7,Clear,96.095,417.85,649.26,60.473333333333336,3.89,14.366666666666667,20.3,92.2,132.0,0.6666666666666666,3
F0046,2023-04-08 13:57:25,2023-04-08 16:57:25,27.0,DFW,Branch_A,2023-04-08,New York,NY,6.3,Sunny,108.69,330.85,585.41,50.45,2.935,-2.85,13.0,98.81666666666666,139.2,0.3333333333333333,6
F0047,2023-03-03 04:35:06,2023-03-03 05:35:06,46.0,LAX,Branch_E,2023-03-03,Dallas,TX,6.9,Cloudy,98.38,332.46666666666664,600.77,57.833333333333336,2.3200000000000003,7.625,23.4,63.15,126.5,0.25,4
F0048,2023-10-04 01:50:18,2023-10-04 02:50:18,27.0,ATL,Branch_B,2023-10-04,Los Angeles,CA,17.7,Storm,101.74000000000001,478.25,600.5233333333333,74.11666666666666,0.7150000000000001,5.183333333333333,26.1,70.8,121.8,0.16666666666666666,6
F0049,2023-09-02 22:36:45,2023-09-03 01:36:45,33.0,DFW,Branch_B,2023-09-02,Los Angeles,CA,26.8,Clear,93.42,472.78,600.855,78.58,3.33,-3.0799999999999996,9.7,39.42,69.8,0.6,5
F0050,2023-09-20 04:02:09,2023-09-20 08:02:09,34.0,DFW,Branch_C,2023-09-20,Chicago,IL,27.8,Storm,102.21999999999998,489.60666666666674,617.2333333333332,45.28,1.8133333333333332,10.260000000000002,18.6,81.34,139.8,0.2,5
F0051,2023-12-20 08:19:21,2023-12-20 10:19:21,45.0,JFK,Branch_D,2023-12-20,Atlanta,GA,8.0,Cloudy,99.91000000000001,560.28,565.44,52.51,2.65,-5.26,12.0,82.16,129.6,0.4,5
F0052,2023-02-13 15:50:20,2023-02-13 19:50:20,24.0,ORD,Branch_D,2023-02-13,Atlanta,GA,6.3,Cloudy,107.99,360.99,646.43,63.53333333333333,2.42,17.580000000000002,28.3,70.85999999999999,146.1,0.2,5
F0053,2023-04-07 04:40:12,2023-04-07 09:40:12,46.0,LAX,Branch_B,2023-04-07,Los Angeles,CA,29.7,Cloudy,95.16499999999999,428.77,605.36,71.965,1.6866666666666668,-5.266666666666667,5.3,112.3,133.1,0.3333333333333333,3
F0054,2023-10-02 11:10:13,2023-10-02 14:10:13,54.0,JFK,Branch_B,2023-10-02,Los Angeles,CA,12.4,Rain,94.25,536.305,634.4866666666667,77.39,1.07,5.433333333333333,27.9,99.03333333333335,105.5,0.0,3
F0055,2023-05-23 14:06:20,2023-05-23 19:06:20,23.0,ORD,Branch_E,2023-05-23,Dallas,TX,6.0,Sunny,101.61,459.745,563.7800000000001,65.25,1.02,4.166666666666667,26.5,84.7,126.0,0.0,3
F0056,2023-02-06 19:20:47,2023-02-06 21:20:47,29.0,ATL,Branch_C,2023-02-06,Chicago,IL,8.3,Clear,98.88333333333333,485.3333333333333,589.7950000000001,67.475,2.045,5.699999999999999,22.7,55.8,72.9,0.0,4
F0057,2023-10-17 08:46:10,2023-10-17 13:46:10,55.0,DFW,Branch_A,2023-10-17,New York,NY,14.8,Sunny,100.235,,603.8000000000001,22.15,0.61,11.74,22.6,46.879999999999995,94.1,0.8,5
F0058,2023-03-23 05:39:55,2023-03-23 10:39:55,29.0,ORD,Branch_C,2023-03-23,Chicago,IL,7.9,Sunny,104.455,523.06,606.745,50.6,4.16,13.416666666666666,24.4,40.083333333333336,105.5,0.0,6
F0059,2023-07-13 16:30:11,2023-07-13 20:30:11,22.0,LAX,Branch_D,2023-07-13,Atlanta,GA,18.4,Storm,103.21666666666665,313.77,634.9866666666667,96.07,1.4549999999999998,11.26,26.1,53.46,97.2,0.2,5
F0060,2023-09-12 11:17:24,2023-09-12 12:17:24,27.0,JFK,Branch_D,2023-09-12,Atlanta,GA,12.5,Rain,103.17,504.56,585.8766666666667,56.760000000000005,1.91,20.48,27.7,75.325,113.8,0.0,5
F0061,2023-06-12 07:25:44,2023-06-12 09:25:44,6.0,DFW,Branch_E,2023-06-12,Dallas,TX,20.7,Clear,102.66,353.42,631.8,63.965,4.44,-2.4,10.9,71.18333333333334,144.6,0.3333333333333333,6
F0062,2023-10-07 10:35:06,2023-10-07 11:35:06,49.0,JFK,Branch_C,2023-10-07,Chicago,IL,19.5,Clear,96.42999999999999,506.48,647.98,93.61500000000001,2.27,8.816666666666666,24.5,92.44,140.9,0.0,6
F0063,2023-09-19 08:37:30,2023-09-19 11:37:30,58.0,ORD,Branch_B,2023-09-19,Los Angeles,CA,16.3,Cloudy,94.255,395.98,591.345,43.02,3.65,-4.583333333333334,13.5,65.58333333333333,106.7,0.16666666666666666,6
F0064,2023-01-05 00:30:44,2023-01-05 04:30:44,47.0,ORD,Branch_E,2023-01-05,Dallas,TX,7.8,Clear,98.83500000000001,395.4066666666667,562.3866666666667,45.16,2.555,4.340000000000001,23.6,60.15,95.8,0.2,5
F0065,2023-02-27 06:40:15,2023-02-27 10:40:15,11.0,ATL,Branch_A,2023-02-27,New York,NY,,Cloudy,99.81666666666666,418.25,536.57,57.26,3.643333333333333,25.933333333333334,29.2,66.96666666666667,85.4,0.0,3
F0066,2023-07-15 20:08:03,2023-07-15 21:08:03,34.0,ATL,Branch_B,2023-07-15,Los Angeles,CA,6.8,Cloudy,97.71999999999998,478.33,608.275,26.31,1.3933333333333333,4.025,12.2,62.583333333333336,127.1,0.5,6
F0067,2023-05-10 01:43:28,2023-05-10 04:43:28,53.0,LAX,Branch_C,2023-05-10,Chicago,IL,7.9,Sunny,97.82,422.63,625.9966666666667,71.15666666666667,2.09,-3.0250000000000004,12.2,64.7,86.4,0.4,5
F0068,2023-06-10 23:22:33,2023-06-11 03:22:33,60.0,LAX,Branch_A,2023-06-10,New York,NY,22.7,Cloudy,99.41333333333334,458.865,543.08,64.25333333333333,3.07,-3.1666666666666665,5.1,72.175,118.4,0.25,4
F0069,2023-09-23 11:06:14,2023-09-23 12:06:14,53.0,ORD,Branch_D,2023-09-23,Atlanta,GA,24.5,Cloudy,,529.05,583.3833333333333,59.65,3.18,9.216666666666667,20.3,91.2,124.5,0.16666666666666666,6
F0071,2023-02-09 07:55:06,2023-02-09 12:55:06,26.0,DFW,Branch_E,2023-02-09,Dallas,TX,20.3,Cloudy,107.4,455.54999999999995,578.445,62.95666666666667,2.26,12.933333333333332,29.1,69.66666666666667,83.5,0.0,3
F0072,2023-10-31 12:46:32,2023-10-31 15:46:32,16.0,LAX,Branch_C,2023-10-31,Chicago,IL,15.3,Clear,101.13,529.1600000000001,538.13,84.57,2.973333333333333,-0.5499999999999993,29.8,75.72500000000001,103.4,0.25,4
F0073,2023-05-17 01:59:14,2023-05-17 06:59:14,28.0,JFK,Branch_D,2023-05-17,Atlanta,GA,19.1,Rain,100.39,570.375,654.94,65.88,0.58,5.92,20.6,71.03999999999999,87.6,0.2,5
F0074,2023-12-20 11:09:15,2023-12-20 15:09:15,9.0,DFW,Branch_E,2023-12-20,Dallas,TX,15.3,Rain,108.0,500.15333333333336,550.5,73.04,1.59,4.516666666666667,25.9,70.91666666666667,143.2,0.16666666666666666,6
F0076,2023-02-14 10:25:31,2023-02-14 14:25:31,53.0,DFW,Branch_B,2023-02-14,Los Angeles,CA,21.9,Sunny,99.75,592.94,584.355,37.73666666666667,2.96,11.86,20.3,66.86,112.2,0.2,5
F0077,2023-02-05 18:58:21,2023-02-05 22:58:21,49.0,ORD,Branch_B,2023-02-05,Los Angeles,CA,15.4,Clear,97.57,457.24,573.45,76.60333333333334,1.015,-0.13999999999999985,23.0,82.06,116.8,0.4,5
F0078,2023-10-24 04:00:01,2023-10-24 07:00:01,58.0,DFW,Branch_A,2023-10-24,New York,NY,28.1,Rain,98.91,529.425,565.36,84.765,4.74,2.1,16.3,100.66666666666667,114.8,0.0,3
F0079,2023-12-14 18:36:38,2023-12-14 22:36:38,11.0,DFW,Branch_C,2023-12-14,Chicago,IL,12.5,Rain,101.32,376.19,533.7,37.373333333333335,2.46,-6.1,15.8,67.94,101.0,0.2,5
F0080,2023-09-22 04:33:28,2023-09-22 07:33:28,5.0,JFK,Branch_C,2023-09-22,Chicago,IL,17.2,Storm,108.31,527.67,623.94,67.17333333333333,3.793333333333333,6.1,24.4,74.3,146.5,0.0,5
F0081,2023-11-05 17:05:11,2023-11-05 21:05:11,50.0,JFK,Branch_B,2023-11-05,Los Angeles,CA,20.5,Rain,100.12,354.66,544.5033333333333,50.879999999999995,3.4599999999999995,19.400000000000002,24.6,67.85,143.5,0.0,4
F0082,2023-01-29 02:29:36,2023-01-29 07:29:36,35.0,DFW,Branch_A,2023-01-29,New York,NY,29.8,Cloudy,100.52333333333333,558.965,643.42,91.89,4.08,14.016666666666666,24.1,28.98,56.3,0.3333333333333333,6
F0083,2023-12-05 18:21:06,2023-12-05 21:21:06,30.0,ATL,Branch_D,2023-12-05,Atlanta,GA,26.2,Rain,101.57666666666667,461.41,604.3,98.16499999999999,1.38,2.15,22.2,69.08333333333333,144.7,0.16666666666666666,6
F0084,2023-06-02 10:48:43,2023-06-02 11:48:43,47.0,ORD,Branch_C,2023-06-02,Chicago,IL,18.9,Sunny,94.40666666666668,302.94,610.745,52.46666666666667,2.06,-5.525,21.0,72.25,122.1,0.0,6
F0085,2023-10-24 12:10:39,2023-10-24 16:10:39,9.0,ORD,Branch_A,2023-10-24,New York,NY,21.5,Rain,102.10333333333334,353.935,575.72,75.345,0.0,-4.066666666666667,18.9,52.550000000000004,120.4,0.0,6
F0087,2023-06-21 17:23:29,2023-06-21 18:23:29,24.0,LAX,Branch_B,2023-06-21,Los Angeles,CA,11.7,Clear,96.20333333333333,417.28,661.18,39.73666666666667,1.8933333333333333,-1.0,8.4,17.266666666666666,35.1,0.0,4
F0088,2023-10-15 13:05:28,2023-10-15 16:05:28,52.0,ORD,Branch_A,2023-10-15,New York,NY,9.4,Clear,105.02,570.52,612.9,70.37,2.1,17.2,29.3,61.975,107.3,0.0,4
F0089,2023-01-13 18:27:12,2023-01-13 23:27:12,38.0,ORD,Branch_E,2023-01-13,Dallas,TX,16.4,Clear,103.61,399.04,611.61,83.91,0.58,3.7,24.1,49.78,86.3,0.0,5
F0090,2023-08-05 05:27:33,2023-08-05 10:27:33,20.0,LAX,Branch_A,2023-08-05,New York,NY,22.4,Cloudy,102.96,305.975,638.39,56.17333333333334,2.77,0.2666666666666669,12.5,80.53333333333333,116.4,0.0,3
F0091,2023-05-28 08:05:35,2023-05-28 11:05:35,31.0,JFK,Branch_A,2023-05-28,New York,NY,11.9,Rain,90.33,331.4,606.01,58.373333333333335,3.82,6.7,14.0,44.9,83.8,0.0,3
F0092,2023-05-15 00:26:12,2023-05-15 05:26:12,45.0,ATL,Branch_A,2023-05-15,New York,NY,27.1,Clear,98.84333333333332,511.02,670.77,47.99,2.1533333333333333,2.3666666666666667,8.0,57.4,99.3,0.0,3
F0093,2023-02-02 15:44:17,2023-02-02 20:44:17,48.0,JFK,Branch_C,2023-02-02,Chicago,IL,27.9,Cloudy,96.17,324.82,559.14,95.95,2.98,5.566666666666666,14.2,88.5,134.6,0.0,4
F0094,2023-04-13 03:53:52,2023-04-13 04:53:52,9.0,DFW,Branch_A,2023-04-13,New York,NY,7.9,Sunny,100.98,506.34,624.05,95.51,1.09,-9.4,2.9,71.23333333333333,109.7,0.0,3
F0095,2023-08-30 11:08:40,2023-08-30 12:08:40,53.0,ATL,Branch_C,2023-08-30,Chicago,IL,26.7,Rain,94.52,416.54,640.07,38.96,2.085,11.14,26.6,76.47999999999999,128.4,0.4,5
F0096,2023-10-17 23:43:26,2023-10-18 04:43:26,1.0,ORD,Branch_A,2023-10-17,New York,NY,7.6,Rain,100.37,396.89,597.07,62.925,2.4499999999999997,2.3999999999999995,14.7,69.85,126.6,0.5,4
F0097,2023-08-24 13:39:50,2023-08-24 15:39:50,10.0,LAX,Branch_E,2023-08-24,Dallas,TX,11.8,Rain,98.6,460.41999999999996,502.66,64.75333333333333,2.66,3.95,28.3,64.2,96.2,0.25,4
F0098,2023-07-01 07:43:53,2023-07-01 08:43:53,39.0,ATL,Branch_C,2023-07-01,Chicago,IL,8.6,Sunny,103.25,556.02,589.09,72.32,2.0166666666666666,5.416666666666667,24.6,82.86,136.6,0.0,6
F0099,2023-06-26 09:04:21,2023-06-26 12:04:21,28.0,ATL,Branch_B,2023-06-26,Los Angeles,CA,26.4,Clear,97.925,380.41499999999996,685.37,47.26,2.33,2.2,18.6,38.6,51.0,0.0,4
F0100,2023-05-11 10:16:00,2023-05-11 12:16:00,49.0,LAX,Branch_E,2023-05-11,Dallas,TX,14.1,Sunny,103.15,382.04333333333335,607.39,47.015,0.69,6.366666666666666,19.4,58.333333333333336,124.6,0.16666666666666666,6
F0101,2023-04-14 16:48:50,2023-04-14 21:48:50,12.0,DFW,Branch_A,2023-04-14,New York,NY,13.2,Sunny,100.11,594.84,577.2433333333333,73.78666666666668,2.995,-0.575,1.0,51.949999999999996,101.6,0.25,4
F0102,2023-10-16 23:50:10,2023-10-17 00:50:10,41.0,ATL,Branch_D,2023-10-16,Atlanta,GA,5.1,Sunny,97.375,495.92,590.995,72.89,2.48,9.775,25.6,82.175,113.1,0.0,4
F0103,2023-07-11 11:36:34,2023-07-11 16:36:34,59.0,LAX,Branch_B,2023-07-11,Los Angeles,CA,25.9,Sunny,98.39666666666666,557.44,599.0799999999999,34.75333333333334,3.17,4.166666666666667,24.3,87.86666666666667,147.9,0.3333333333333333,6
F0104,2023-11-04 20:36:10,2023-11-04 22:36:10,46.0,JFK,Branch_C,2023-11-04,Chicago,IL,8.6,Cloudy,105.43,445.79499999999996,614.6700000000001,70.55,3.4749999999999996,7.183333333333334,20.1,61.7,147.4,0.16666666666666666,6
F0106,2023-07-05 17:12:57,2023-07-05 22:12:57,41.0,ORD,Branch_A,2023-07-05,New York,NY,27.3,Rain,98.10666666666667,310.055,501.29,65.65,3.1,8.725,28.5,61.224999999999994,125.8,0.0,4
F0107,2023-11-03 02:02:30,2023-11-03 03:02:30,38.0,JFK,Branch_C,2023-11-03,Chicago,IL,11.0,Sunny,102.305,318.55,613.6099999999999,73.515,2.665,8.25,28.8,97.26666666666667,136.0,0.3333333333333333,6
F0108,2023-06-18 07:06:21,2023-06-18 12:06:21,13.0,DFW,Branch_C,2023-06-18,Chicago,IL,25.5,Storm,102.92,403.85,603.1800000000001,60.0,4.64,10.6,28.3,99.38,136.0,0.4,5
F0109,2023-01-01 06:02:33,2023-01-01 07:02:33,9.0,DFW,Branch_A,2023-01-01,New York,NY,26.2,Cloudy,96.10333333333334,459.07666666666665,632.6566666666666,54.74,1.175,-10.933333333333332,0.1,51.43333333333334,95.5,0.3333333333333333,3
F0110,2023-06-15 00:10:57,2023-06-15 01:10:57,49.0,JFK,Branch_A,2023-06-15,New York,NY,20.5,Cloudy,93.48333333333333,453.77,633.565,39.32,2.88,10.733333333333334,21.7,52.9,130.5,0.0,6
F0112,2023-10-27 15:38:41,2023-10-27 17:38:41,39.0,LAX,Branch_B,2023-10-27,Los Angeles,CA,27.8,Rain,98.96,383.25,583.58,81.74333333333334,1.065,6.6499999999999995,19.7,78.525,123.4,0.0,4
F0114,2023-05-09 02:05:40,2023-05-09 04:05:40,6.0,ATL,Branch_E,2023-05-09,Dallas,TX,29.0,Sunny,99.87,482.45500000000004,504.33,30.5,2.53,11.0,21.6,49.3,123.0,0.4,5
F0115,2023-01-22 06:10:16,2023-01-22 11:10:16,55.0,LAX,Branch_D,2023-01-22,Atlanta,GA,13.1,Storm,96.2,479.57,520.31,42.88999999999999,1.9100000000000001,-2.4,4.0,123.3,147.9,0.0,3
F0116,2023-02-08 17:12:35,2023-02-08 21:12:35,5.0,ATL,Branch_C,2023-02-08,Chicago,IL,5.7,Rain,101.785,454.98333333333335,637.99,46.49,2.353333333333333,15.199999999999998,24.7,72.73333333333333,79.7,0.0,3
F0117,2023-02-01 09:17:37,2023-02-01 12:17:37,13.0,ATL,Branch_B,2023-02-01,Los Angeles,CA,17.7,Clear,98.25,373.83,669.8900000000001,85.67,1.345,7.9,28.8,84.1,123.1,0.4,5
F0118,2023-10-01 23:03:06,2023-10-02 00:03:06,51.0,ORD,Branch_A,2023-10-01,New York,NY,24.8,Rain,97.16499999999999,411.0133333333333,637.4300000000001,50.89,2.575,16.86,29.0,97.61666666666667,149.4,0.3333333333333333,6
F0119,2023-01-24 02:41:36,2023-01-24 03:41:36,9.0,ATL,Branch_A,2023-01-24,New York,NY,11.4,Sunny,102.225,384.655,569.435,61.065,3.02,14.366666666666667,24.4,61.5,112.9,0.3333333333333333,6
F0120,2023-06-23 17:19:57,2023-06-23 18:19:57,15.0,LAX,Branch_C,2023-06-23,Chicago,IL,29.1,Sunny,92.91,553.86,587.47,70.91333333333334,4.27,-1.6600000000000001,14.5,75.44000000000001,131.0,0.0,5
F0121,2023-05-07 02:27:29,2023-05-07 06:27:29,0.0,ORD,Branch_E,2023-05-07,Dallas,TX,27.4,Sunny,105.32,442.5,569.4766666666667,22.23,2.5066666666666664,19.733333333333334,28.1,110.73333333333333,125.2,0.3333333333333333,3
F0122,2023-01-27 18:53:09,2023-01-27 20:53:09,44.0,DFW,Branch_B,2023-01-27,Los Angeles,CA,6.0,Rain,100.48,377.14,633.9166666666666,56.04333333333333,4.04,4.0,17.2,60.260000000000005,130.3,0.4,5
F0123,2023-12-27 21:35:34,2023-12-28 01:35:34,37.0,ATL,Branch_A,2023-12-27,New York,NY,25.9,Clear,95.5,353.11,682.71,60.89,3.735,-9.625,-3.5,56.625,117.1,0.0,4
F0124,2023-09-26 17:27:18,2023-09-26 19:27:18,24.0,ORD,Branch_C,2023-09-26,Chicago,IL,28.7,Sunny,99.97,442.9633333333333,597.47,74.74333333333333,4.48,14.9,23.1,98.06666666666666,109.6,0.3333333333333333,3
F0125,2023-11-10 04:21:13,2023-11-10 06:21:13,24.0,ATL,Branch_A,2023-11-10,New York,NY,20.6,Sunny,98.275,428.51,607.1533333333333,25.28,2.01,4.220000000000001,18.9,92.16,135.6,0.2,5
F0127,2023-01-21 15:05:54,2023-01-21 16:05:54,43.0,ATL,Branch_B,2023-01-21,Los Angeles,CA,13.5,Rain,105.42333333333333,506.15000000000003,592.9266666666666,69.08999999999999,2.37,2.65,9.5,60.333333333333336,141.3,0.0,4
F0128,2023-04-25 18:40:26,2023-04-25 21:40:26,59.0,LAX,Branch_A,2023-04-25,New York,NY,26.7,Storm,101.235,425.275,608.98,52.705,3.3049999999999997,10.24,20.2,83.22,141.7,0.2,5
