sensor_id,flight_id,sensor_type,sensor_value,event_time
EN6240,F0021,Engine Temperature,639.28,2023-04-14 19:49:37
FU6574,F0021,Fuel Level,98.98,2023-04-14 19:20:52
FU8339,F0021,Fuel Level,31.79,2023-04-14 20:01:33
FU8652,F0021,Fuel Level,37.27,2023-04-14 20:16:20
VI6533,F0021,Vibration,2.92,2023-04-14 18:31:22
AI4026,F0021,Air Pressure,106.84,2023-04-14 20:19:08
AI1087,F0021,Airspeed,535.49,2023-04-14 19:16:39
AI8650,F0021,Airspeed,482.8,2023-04-14 19:04:56
AI7398,F0021,Airspeed,500.73,2023-04-14 18:11:03
EN9398,F0022,Engine Temperature,567.49,2023-04-03 01:57:17
EN1199,F0022,Engine Temperature,525.83,2023-04-02 23:59:50
FU9546,F0022,Fuel Level,40.76,2023-04-03 00:49:18
FU1333,F0022,Fuel Level,70.46,2023-04-02 23:52:25
FU7844,F0022,Fuel Level,90.47,2023-04-02 23:12:50
VI9425,F0022,Vibration,0.14,2023-04-02 22:58:58
AI6723,F0022,Air Pressure,99.78,2023-04-02 23:29:44
AI9647,F0022,Air Pressure,91.43,2023-04-03 01:19:48
AI1464,F0022,Air Pressure,96.8,2023-04-02 23:45:05
AI5488,F0022,Airspeed,469.22,2023-04-02 23:02:54
AI8851,F0022,Airspeed,415.18,2023-04-02 23:07:23
EN8557,F0023,Engine Temperature,537.11,2023-03-03 17:15:50
EN7071,F0023,Engine Temperature,618.72,2023-03-03 15:07:21
EN5416,F0023,Engine Temperature,593.77,2023-03-03 17:08:09
FU1535,F0023,Fuel Level,73.46,2023-03-03 16:51:50
FU7052,F0023,Fuel Level,26.82,2023-03-03 16:12:45
VI6539,F0023,Vibration,1.85,2023-03-03 14:18:20
VI4062,F0023,Vibration,0.23,2023-03-03 13:34:37
AI9980,F0023,Air Pressure,103.3,2023-03-03 16:30:48
AI9280,F0023,Air Pressure,97.95,2023-03-03 15:23:18
AI7854,F0023,Airspeed,487.91,2023-03-03 15:49:30
AI7674,F0023,Airspeed,347.68,2023-03-03 15:32:32
AI7184,F0023,Airspeed,346.11,2023-03-03 14:32:41
EN2229,F0024,Engine Temperature,619.06,2023-01-30 12:02:33
FU9913,F0024,Fuel Level,26.08,2023-01-30 12:26:14
VI5959,F0024,Vibration,,2023-01-30 11:49:34
AI8382,F0024,Air Pressure,96.93,2023-01-30 11:32:30
AI2848,F0024,Airspeed,455.37,2023-01-30 12:14:33
AI6770,F0024,Airspeed,432.97,2023-01-30 11:41:04
AI7077,F0024,Airspeed,595.37,2023-01-30 11:41:23
EN3846,F0025,Engine Temperature,527.05,2023-09-19 20:34:28
EN5726,F0025,Engine Temperature,541.31,2023-09-19 19:50:02
FU8654,F0025,Fuel Level,71.09,2023-09-19 19:01:28
FU6581,F0025,Fuel Level,42.23,2023-09-19 19:58:07
VI8801,F0025,Vibration,2.78,2023-09-19 20:19:07
AI3330,F0025,Air Pressure,107.18,2023-09-19 18:46:07
AI9978,F0025,Airspeed,518.25,2023-09-19 18:47:44
AI5803,F0025,Airspeed,479.97,2023-09-19 21:15:33
AI4738,F0025,Airspeed,566.46,2023-09-19 21:29:05
EN5569,F0026,Engine Temperature,525.33,2023-08-15 07:35:52
EN9508,F0026,Engine Temperature,662.34,2023-08-15 09:22:09
FU7884,F0026,Fuel Level,96.15,2023-08-15 09:00:16
FU2008,F0026,Fuel Level,91.31,2023-08-15 09:32:12
VI6549,F0026,Vibration,2.02,2023-08-15 09:50:53
VI2021,F0026,Vibration,3.61,2023-08-15 08:04:45
VI6618,F0026,Vibration,4.43,2023-08-15 08:39:53
AI1055,F0026,Air Pressure,100.45,2023-08-15 10:24:31
AI3796,F0026,Air Pressure,95.45,2023-08-15 09:59:37
AI4727,F0026,Air Pressure,91.19,2023-08-15 09:59:51
AI9426,F0026,Airspeed,581.97,2023-08-15 08:45:04
AI6687,F0026,Airspeed,412.84,2023-08-15 10:19:41
EN8370,F0027,Engine Temperature,639.18,2023-04-24 20:36:28
EN5844,F0027,Engine Temperature,562.51,2023-04-24 20:50:00
EN1658,F0027,Engine Temperature,530.13,2023-04-24 20:44:14
FU1640,F0027,Fuel Level,43.29,2023-04-24 20:35:54
FU6838,F0027,Fuel Level,44.29,2023-04-24 20:59:45
VI4286,F0027,Vibration,4.62,2023-04-24 20:57:33
AI4016,F0027,Air Pressure,100.99,2023-04-24 21:19:39
AI3225,F0027,Airspeed,560.07,2023-04-24 20:51:47
EN7636,F0028,Engine Temperature,559.14,2023-05-28 01:17:00
EN2948,F0028,Engine Temperature,677.21,2023-05-28 02:31:19
EN1677,F0028,Engine Temperature,563.02,2023-05-28 01:39:14
FU1617,F0028,Fuel Level,60.83,2023-05-28 02:58:23
VI7487,F0028,Vibration,0.71,2023-05-28 02:18:20
VI8109,F0028,Vibration,3.08,2023-05-28 01:38:32
VI6027,F0028,Vibration,3.68,2023-05-28 02:22:07
AI9805,F0028,Air Pressure,97.3,2023-05-28 02:52:03
AI9194,F0028,Air Pressure,94.55,2023-05-28 01:38:21
AI2393,F0028,Air Pressure,106.21,2023-05-28 02:18:10
AI5056,F0028,Airspeed,331.55,2023-05-28 02:04:28
AI4158,F0028,Airspeed,566.9,2023-05-28 03:05:17
AI5934,F0028,Airspeed,541.96,2023-05-28 02:49:23
EN2896,F0029,Engine Temperature,594.15,2023-04-23 20:09:26
EN5880,F0029,Engine Temperature,615.58,2023-04-23 18:35:21
FU3710,F0029,Fuel Level,44.8,2023-04-23 19:04:33
VI1525,F0029,Vibration,3.7,2023-04-23 19:50:18
VI7394,F0029,Vibration,0.72,2023-04-23 19:05:02
AI3477,F0029,Air Pressure,102.93,2023-04-23 19:06:17
AI8415,F0029,Airspeed,467.67,2023-04-23 20:16:01
AI7681,F0029,Airspeed,524.25,2023-04-23 18:43:45
AI7451,F0029,Airspeed,575.06,2023-04-23 20:16:55
EN4951,F0030,Engine Temperature,599.67,2023-09-06 16:39:47
FU5099,F0030,Fuel Level,31.83,2023-09-06 18:45:43
FU5816,F0030,Fuel Level,69.75,2023-09-06 17:56:10
FU5297,F0030,Fuel Level,24.71,2023-09-06 18:10:54
VI4245,F0030,Vibration,3.15,2023-09-06 18:03:10
VI4804,F0030,Vibration,0.07,2023-09-06 18:23:11
VI8169,F0030,Vibration,3.37,2023-09-06 18:20:01
AI3671,F0030,Air Pressure,104.55,2023-09-06 19:03:47
AI6567,F0030,Air Pressure,102.28,2023-09-06 16:25:37
AI2019,F0030,Air Pressure,100.14,2023-09-06 17:54:07
AI8248,F0030,Airspeed,453.63,2023-09-06 16:54:21
EN8610,F0031,Engine Temperature,600.93,2023-09-22 01:02:47
EN4139,F0031,Engine Temperature,664.28,2023-09-22 00:57:43
FU4728,F0031,Fuel Level,42.44,2023-09-21 22:34:50
FU4267,F0031,Fuel Level,88.3,2023-09-21 21:59:59
FU7865,F0031,Fuel Level,76.74,2023-09-22 00:36:42
VI8963,F0031,Vibration,4.68,2023-09-21 23:50:35
VI4303,F0031,Vibration,0.43,2023-09-22 00:40:05
VI2877,F0031,Vibration,4.19,2023-09-22 01:20:07
AI2077,F0031,Air Pressure,107.4,2023-09-22 00:53:41
AI4609,F0031,Air Pressure,95.16,2023-09-21 23:19:57
AI1196,F0031,Air Pressure,,2023-09-22 00:37:15
AI6160,F0031,Airspeed,360.21,2023-09-21 22:45:52
AI3097,F0031,Airspeed,355.54,2023-09-21 22:16:27
AI7859,F0031,Airspeed,327.69,2023-09-21 23:40:34
EN5976,F0032,Engine Temperature,501.46,2023-03-21 10:32:28
EN9136,F0032,Engine Temperature,591.98,2023-03-21 12:07:26
EN2846,F0032,Engine Temperature,643.59,2023-03-21 12:11:04
FU2821,F0032,Fuel Level,68.21,2023-03-21 10:58:06
VI4556,F0032,Vibration,2.16,2023-03-21 12:12:41
VI4842,F0032,Vibration,2.8,2023-03-21 09:02:56
AI4458,F0032,Air Pressure,90.32,2023-03-21 11:56:57
AI9588,F0032,Airspeed,567.18,2023-03-21 09:37:09
EN1519,F0033,Engine Temperature,583.39,2023-10-17 19:47:59
EN8463,F0033,Engine Temperature,663.74,2023-10-17 16:48:17
EN2566,F0033,Engine Temperature,589.18,2023-10-17 20:32:16
FU2657,F0033,Fuel Level,48.31,2023-10-17 19:53:35
FU6486,F0033,Fuel Level,88.5,2023-10-17 17:56:57
FU9795,F0033,Fuel Level,20.49,2023-10-17 18:41:39
VI4704,F0033,Vibration,3.67,2023-10-17 18:54:58
VI9172,F0033,Vibration,2.25,2023-10-17 19:33:43
VI8670,F0033,Vibration,2.44,2023-10-17 21:14:03
AI9998,F0033,Air Pressure,109.67,2023-10-17 16:33:34
AI7743,F0033,Airspeed,352.76,2023-10-17 20:47:52
AI7331,F0033,Airspeed,312.57,2023-10-17 17:26:35
AI1160,F0033,Airspeed,339.56,2023-10-17 17:40:06
EN8079,F0034,Engine Temperature,629.43,2023-05-08 05:06:02
EN5712,F0034,Engine Temperature,570.1,2023-05-08 04:21:23
EN5569,F0034,Engine Temperature,657.26,2023-05-08 06:07:28
FU1549,F0034,Fuel Level,28.48,2023-05-08 06:33:05
VI5942,F0034,Vibration,4.87,2023-05-08 03:45:52
VI1690,F0034,Vibration,4.65,2023-05-08 04:35:24
VI7458,F0034,Vibration,3.43,2023-05-08 04:31:11
AI5849,F0034,Air Pressure,98.83,2023-05-08 06:17:44
AI4166,F0034,Air Pressure,90.11,2023-05-08 05:12:12
AI5341,F0034,Airspeed,575.07,2023-05-08 04:55:19
AI2161,F0034,Airspeed,473.52,2023-05-08 06:24:52
EN8893,F0035,Engine Temperature,674.99,2023-08-06 19:44:18
EN3604,F0035,Engine Temperature,598.64,2023-08-06 16:22:14
EN1750,F0035,Engine Temperature,551.59,2023-08-06 19:04:08
FU4224,F0035,Fuel Level,85.39,2023-08-06 17:16:11
VI2357,F0035,Vibration,4.79,2023-08-06 16:18:51
VI8568,F0035,Vibration,0.45,2023-08-06 18:05:33
VI4313,F0035,Vibration,3.0,2023-08-06 17:38:40
AI1513,F0035,Air Pressure,93.71,2023-08-06 16:01:30
AI8703,F0035,Air Pressure,107.79,2023-08-06 19:07:34
AI4743,F0035,Airspeed,481.88,2023-08-06 18:16:32
AI7737,F0035,Airspeed,483.79,2023-08-06 18:29:06
AI1377,F0035,Airspeed,315.97,2023-08-06 19:52:28
EN9911,F0036,Engine Temperature,647.08,2023-12-12 09:53:59
FU9552,F0036,Fuel Level,57.31,2023-12-12 07:59:59
FU6711,F0036,Fuel Level,49.0,2023-12-12 08:41:04
FU4910,F0036,Fuel Level,97.24,2023-12-12 10:03:15
VI6510,F0036,Vibration,2.63,2023-12-12 08:11:21
VI4703,F0036,Vibration,2.5,2023-12-12 06:58:16
VI3884,F0036,Vibration,3.37,2023-12-12 06:10:35
AI7547,F0036,Air Pressure,107.42,2023-12-12 10:22:01
AI4530,F0036,Airspeed,463.71,2023-12-12 06:20:36
EN5376,F0037,Engine Temperature,531.92,2023-10-09 04:46:25
EN9981,F0037,Engine Temperature,566.0,2023-10-09 04:53:21
FU9615,F0037,Fuel Level,76.75,2023-10-09 04:53:09
FU5876,F0037,Fuel Level,38.14,2023-10-09 04:50:47
VI3090,F0037,Vibration,0.65,2023-10-09 04:07:33
VI4487,F0037,Vibration,4.77,2023-10-09 04:06:39
VI6195,F0037,Vibration,4.37,2023-10-09 04:40:26
AI6874,F0037,Air Pressure,105.54,2023-10-09 04:51:57
AI6871,F0037,Air Pressure,105.74,2023-10-09 04:36:17
AI2571,F0037,Airspeed,331.39,2023-10-09 04:40:01
AI7087,F0037,Airspeed,443.56,2023-10-09 04:06:06
AI3706,F0037,Airspeed,507.12,2023-10-09 04:29:27
EN4900,F0038,Engine Temperature,656.68,2023-10-08 18:07:31
EN9855,F0038,Engine Temperature,684.58,2023-10-08 18:23:17
FU4857,F0038,Fuel Level,88.97,2023-10-08 17:53:59
FU6196,F0038,Fuel Level,85.64,2023-10-08 18:14:27
VI8319,F0038,Vibration,1.7,2023-10-08 18:23:41
VI1486,F0038,Vibration,3.05,2023-10-08 17:50:45
VI5115,F0038,Vibration,0.06,2023-10-08 18:06:08
AI1332,F0038,Air Pressure,92.43,2023-10-08 17:46:48
AI9059,F0038,Air Pressure,101.75,2023-10-08 17:28:52
AI3909,F0038,Airspeed,572.22,2023-10-08 18:00:17
AI8004,F0038,Airspeed,314.45,2023-10-08 18:00:40
AI4474,F0038,Airspeed,311.93,2023-10-08 17:39:30
EN6821,F0039,Engine Temperature,,2023-10-18 04:49:09
FU1835,F0039,Fuel Level,78.7,2023-10-18 04:57:25
FU8574,F0039,Fuel Level,76.38,2023-10-18 05:45:55
FU6129,F0039,Fuel Level,52.92,2023-10-18 05:26:57
VI6849,F0039,Vibration,,2023-10-18 05:13:02
AI2507,F0039,Air Pressure,99.51,2023-10-18 03:20:33
AI7514,F0039,Air Pressure,97.51,2023-10-18 04:19:42
AI5261,F0039,Air Pressure,108.85,2023-10-18 02:23:23
AI5384,F0039,Airspeed,404.51,2023-10-18 05:41:26
AI1087,F0039,Airspeed,453.36,2023-10-18 04:45:36
EN9797,F0040,Engine Temperature,,2023-05-23 08:39:53
FU8252,F0040,Fuel Level,60.06,2023-05-23 09:33:11
FU7564,F0040,Fuel Level,84.91,2023-05-23 10:05:36
FU4323,F0040,Fuel Level,25.86,2023-05-23 09:52:26
VI4082,F0040,Vibration,2.11,2023-05-23 08:40:04
AI9298,F0040,Air Pressure,105.26,2023-05-23 08:08:44
AI8074,F0040,Air Pressure,95.87,2023-05-23 10:03:38
AI8737,F0040,Air Pressure,93.67,2023-05-23 07:56:49
AI5906,F0040,Airspeed,308.21,2023-05-23 08:37:17
AI8288,F0040,Airspeed,497.83,2023-05-23 07:46:10
AI6835,F0040,Airspeed,378.9,2023-05-23 09:02:25
EN1125,F0042,Engine Temperature,693.18,2023-05-07 19:35:02
EN4682,F0042,Engine Temperature,,2023-05-07 18:31:31
FU5192,F0042,Fuel Level,82.01,2023-05-07 20:19:48
FU5275,F0042,Fuel Level,43.7,2023-05-07 20:08:11
VI1878,F0042,Vibration,3.46,2023-05-07 18:41:07
VI1306,F0042,Vibration,0.53,2023-05-07 18:04:46
VI4004,F0042,Vibration,1.45,2023-05-07 20:20:07
AI2626,F0042,Air Pressure,93.43,2023-05-07 18:08:59
AI5879,F0042,Airspeed,465.02,2023-05-07 18:07:28
EN6330,F0043,Engine Temperature,545.74,2023-08-04 14:18:30
EN9716,F0043,Engine Temperature,647.43,2023-08-04 11:36:54
EN6272,F0043,Engine Temperature,528.28,2023-08-04 14:28:19
FU7863,F0043,Fuel Level,36.79,2023-08-04 13:57:32
VI8804,F0043,Vibration,0.53,2023-08-04 11:44:33
AI6070,F0043,Air Pressure,98.88,2023-08-04 12:38:46
AI9130,F0043,Air Pressure,97.89,2023-08-04 14:00:17
AI2333,F0043,Air Pressure,108.7,2023-08-04 11:53:39
AI1795,F0043,Airspeed,551.06,2023-08-04 12:35:13
EN5932,F0044,Engine Temperature,664.6,2023-08-07 12:52:46
EN2027,F0044,Engine Temperature,518.13,2023-08-07 13:36:09
EN5032,F0044,Engine Temperature,547.02,2023-08-07 13:55:45
FU4690,F0044,Fuel Level,91.42,2023-08-07 15:00:20
FU9848,F0044,Fuel Level,48.4,2023-08-07 13:26:35
VI9240,F0044,Vibration,2.49,2023-08-07 14:37:19
VI1907,F0044,Vibration,2.83,2023-08-07 13:25:31
AI8440,F0044,Air Pressure,108.54,2023-08-07 12:34:03
AI8470,F0044,Air Pressure,93.12,2023-08-07 14:47:42
AI3866,F0044,Airspeed,530.22,2023-08-07 15:34:14
EN9423,F0045,Engine Temperature,668.73,2023-05-07 19:52:18
FU5715,F0045,Fuel Level,63.28,2023-05-07 19:31:11
FU7726,F0045,Fuel Level,69.59,2023-05-07 17:25:31
VI7639,F0045,Vibration,3.9,2023-05-07 18:20:21
AI4906,F0045,Air Pressure,104.52,2023-05-07 18:37:36
AI6265,F0045,Air Pressure,93.17,2023-05-07 20:33:02
AI2431,F0045,Airspeed,321.62,2023-05-07 18:12:48
AI8500,F0045,Airspeed,371.59,2023-05-07 20:12:16
AI5850,F0045,Airspeed,329.62,2023-05-07 19:41:58
EN6369,F0046,Engine Temperature,600.57,2023-09-02 00:31:33
FU4655,F0046,Fuel Level,97.21,2023-09-02 00:35:59
VI1793,F0046,Vibration,1.4,2023-09-02 02:38:16
VI7984,F0046,Vibration,4.56,2023-09-02 02:03:53
VI7036,F0046,Vibration,4.17,2023-09-02 02:08:35
AI7814,F0046,Air Pressure,90.65,2023-09-02 01:49:00
AI9907,F0046,Airspeed,355.57,2023-09-02 03:09:27
EN5170,F0047,Engine Temperature,619.01,2023-07-21 18:14:17
EN9496,F0047,Engine Temperature,572.29,2023-07-21 17:40:23
FU3417,F0047,Fuel Level,40.47,2023-07-21 17:53:10
FU3636,F0047,Fuel Level,33.81,2023-07-21 18:30:50
VI1726,F0047,Vibration,1.27,2023-07-21 18:44:05
VI7067,F0047,Vibration,1.73,2023-07-21 18:33:37
AI8259,F0047,Air Pressure,103.14,2023-07-21 17:21:09
AI3335,F0047,Air Pressure,107.99,2023-07-21 17:49:30
AI6536,F0047,Airspeed,408.35,2023-07-21 19:13:45
