flight_id,event_time,latitude,longitude,altitude,temperature,wind_speed,weather_condition
F0009,2023-06-27 04:44:25,20.1679,-75.4212,37004.6,-14.8,37.6,Cloudy
F0009,2023-06-27 04:56:31,32.582,-91.0848,10222.1,-9.0,6.7,Sunny
F0010,2023-11-08 17:12:42,27.7647,-86.5381,7264.07,-9.0,146.8,Rain
F0010,2023-11-08 17:41:59,54.6559,-114.001,17212.99,-16.2,62.0,Clear
F0010,2023-11-08 17:16:02,20.4298,-87.8298,12502.82,-14.6,80.2,Clear
F0012,2023-03-15 19:55:11,31.8685,-111.0397,14554.19,-6.7,150.0,Sunny
F0012,2023-03-15 18:59:35,57.4055,-128.987,3997.38,26.3,28.9,Sunny
F0012,2023-03-15 20:38:05,39.607,-61.8888,18687.54,3.2,112.8,Cloudy
F0012,2023-03-15 20:34:55,57.7257,-101.8315,3323.31,-16.7,16.7,Clear
F0012,2023-03-15 20:58:13,41.9694,-62.528,10218.74,6.0,43.0,Rain
F0012,2023-03-15 18:51:50,29.7246,-122.3651,7923.45,-13.7,92.4,Cloudy
F0013,2023-05-26 03:10:45,43.3989,-67.1786,37043.01,-10.8,124.0,Clear
F0013,2023-05-26 03:18:52,30.0328,-116.4582,24425.38,-12.2,19.4,Storm
F0013,2023-05-26 04:08:55,55.283,-63.4461,27850.62,15.9,92.1,Rain
F0013,2023-05-26 02:50:26,26.6418,-112.0832,4209.9,-2.5,86.5,Storm
F0015,2023-01-14 11:24:29,56.534,-92.0309,31075.48,11.9,92.5,Cloudy
F0015,2023-01-14 12:10:16,29.5724,-108.9349,15152.53,-12.4,147.5,Clear
F0015,2023-01-14 12:51:11,55.7841,-61.6551,36037.4,1.8,80.1,Storm
F0015,2023-01-14 12:57:10,50.312,-127.7055,30022.23,-14.4,13.2,Cloudy
F0016,2023-12-23 08:30:31,35.2121,-124.9719,25268.68,15.8,130.5,Rain
F0016,2023-12-23 09:19:39,32.3393,-62.551,37260.7,-6.4,132.0,Storm
F0016,2023-12-23 09:45:38,50.4362,-71.6914,23655.96,18.2,7.2,Storm
F0016,2023-12-23 09:31:24,44.6726,-61.6456,33547.59,18.3,66.6,Clear
F0018,2023-12-10 16:27:16,37.0611,-104.6765,8544.22,-14.6,74.5,Storm
F0018,2023-12-10 15:51:29,48.6092,-92.4128,35794.97,18.3,100.0,Rain
F0018,2023-12-10 18:24:19,59.9182,-71.5076,18557.97,26.5,123.5,Clear
F0018,2023-12-10 17:58:18,44.0533,-82.2375,19198.1,20.9,95.8,Clear
F0020,2023-12-01 15:04:35,50.4142,-122.6117,33198.58,-13.6,,Rain
F0020,2023-12-01 11:44:55,35.0995,-113.2186,21330.51,-1.6,84.3,Storm
F0020,2023-12-01 15:59:40,23.5792,-98.6239,8239.28,-17.1,7.5,Sunny
F0020,2023-12-01 14:02:19,53.1864,-122.666,23588.67,-8.7,24.0,Cloudy
F0021,2023-01-15 18:25:22,40.9765,-62.0274,35724.76,,57.3,Clear
F0021,2023-01-15 18:37:46,41.9,-94.7852,12822.6,,36.2,Storm
F0021,2023-01-15 18:04:26,51.227,-93.3102,14581.91,12.7,123.4,Clear
F0022,2023-05-14 13:20:28,45.2965,-62.431,35404.01,28.2,73.0,Clear
F0022,2023-05-14 14:15:43,33.0651,-113.6733,38532.95,19.1,88.5,Storm
F0022,2023-05-14 14:47:41,25.8496,-71.39,39312.55,-12.1,16.7,Sunny
F0022,2023-05-14 13:19:06,35.6086,-110.6486,32773.07,-11.2,110.0,Clear
F0022,2023-05-14 14:20:35,35.739,-128.5707,21934.4,-13.1,119.2,Cloudy
F0023,2023-10-18 15:49:20,55.832,-96.4358,33050.58,19.9,127.0,Clear
F0023,2023-10-18 14:57:40,45.0005,-91.8007,39132.7,-10.4,73.5,Rain
F0023,2023-10-18 16:43:04,25.3712,-99.9634,36767.85,-11.7,57.4,Clear
F0024,2023-06-09 08:37:38,23.0917,-70.8037,24949.78,11.3,52.1,Sunny
F0024,2023-06-09 04:02:39,49.3901,-129.5538,16417.77,1.3,108.8,Cloudy
F0024,2023-06-09 04:34:59,52.6514,-97.5334,39349.54,18.2,81.4,Cloudy
F0024,2023-06-09 08:05:50,25.343,-78.5875,13010.4,,106.8,Sunny
F0024,2023-06-09 04:04:56,35.1268,-96.0252,33967.94,-5.3,87.3,Clear
F0024,2023-06-09 04:06:41,24.7824,-121.669,14652.88,9.1,50.6,Cloudy
F0026,2023-04-19 07:41:22,54.7678,-60.5194,11658.78,-19.9,122.4,Clear
F0026,2023-04-19 03:17:37,59.7471,-128.4862,25665.79,17.1,58.8,Rain
F0026,2023-04-19 04:18:45,54.0523,-86.3276,26713.2,0.8,111.7,Rain
F0026,2023-04-19 03:59:04,24.7414,-114.7639,11665.03,28.7,42.8,Sunny
F0026,2023-04-19 03:09:32,33.7755,-129.1613,21599.07,-19.3,11.5,Cloudy
F0027,2023-02-02 04:55:23,33.3894,-92.3409,37874.75,-12.4,49.6,Sunny
F0027,2023-02-02 04:58:11,24.5504,-113.9622,8480.84,20.3,105.4,Cloudy
F0027,2023-02-02 06:17:55,37.7543,-127.1626,34182.36,25.0,27.6,Clear
F0027,2023-02-02 06:24:29,51.0435,-125.4143,27530.26,-4.6,36.2,Clear
F0027,2023-02-02 06:33:57,24.7634,-109.8285,25117.17,-9.1,83.7,Storm
F0028,2023-09-25 11:43:35,44.2781,-64.0371,38203.83,2.9,25.9,Clear
F0028,2023-09-25 11:55:48,59.9314,-73.5465,18380.31,25.3,92.2,Storm
F0028,2023-09-25 11:09:06,49.7991,-102.1746,12977.84,-7.7,138.6,Sunny
F0028,2023-09-25 11:36:58,42.5921,-114.4667,11756.74,1.8,57.9,Cloudy
F0029,2023-04-08 14:27:43,53.3815,-122.1605,3502.69,-14.4,21.5,Storm
F0029,2023-04-08 11:44:35,45.7836,-60.0716,20131.4,6.2,40.5,Sunny
F0029,2023-04-08 14:27:14,53.0345,-83.5189,15708.32,4.0,147.3,Cloudy
F0029,2023-04-08 13:30:23,33.0453,-68.2524,32819.56,-8.0,90.8,Clear
F0029,2023-04-08 14:24:14,32.7876,-126.5501,22619.81,1.6,7.2,Storm
F0029,2023-04-08 13:11:28,33.7149,-88.3004,10902.79,10.3,28.3,Cloudy
F0030,2023-06-28 03:25:28,28.6811,-109.4215,22984.69,9.9,131.6,Storm
F0030,2023-06-28 02:16:09,45.7648,-87.1329,7328.48,-4.2,0.4,Cloudy
F0030,2023-06-28 02:18:00,20.597,-89.4837,12036.53,,104.2,Rain
F0030,2023-06-28 02:48:28,41.6515,-67.4384,6135.57,-16.9,62.3,Storm
F0030,2023-06-28 02:27:20,24.1118,-98.3519,25364.33,21.0,76.3,Rain
F0031,2023-11-29 13:00:47,41.7366,-74.1866,32073.6,3.4,50.3,Cloudy
F0031,2023-11-29 13:30:36,42.6115,-77.9669,8317.4,-1.8,144.9,Sunny
F0031,2023-11-29 12:46:57,24.8359,-67.1648,34373.58,25.1,27.9,Storm
F0031,2023-11-29 12:59:34,45.1556,-127.9347,33243.45,-15.6,108.2,Clear
F0032,2023-07-07 19:41:31,32.8572,-80.4751,21864.91,-4.0,,Sunny
F0032,2023-07-07 20:36:49,36.1304,-129.6439,15092.85,21.7,40.4,Sunny
F0032,2023-07-07 17:54:38,32.6199,-65.7999,28222.71,-16.8,67.2,Clear
F0032,2023-07-07 18:09:11,57.7851,-68.2516,28931.35,-12.1,4.3,Clear
F0032,2023-07-07 19:09:39,43.8471,-95.3573,38790.39,1.1,17.6,Cloudy
F0032,2023-07-07 19:04:17,58.2834,-61.8421,6251.25,17.8,28.1,Sunny
F0033,2023-06-02 01:32:48,57.094,-123.1699,19915.39,-17.3,143.3,Storm
F0033,2023-06-02 01:18:18,20.6125,-125.8503,28177.12,-12.2,38.2,Cloudy
F0033,2023-06-02 01:20:42,58.7823,-112.0601,11495.66,-19.6,79.1,Storm
F0034,2023-02-26 07:22:52,20.9889,-121.138,4597.46,14.8,81.6,Clear
F0034,2023-02-26 08:16:20,42.9655,-120.3272,21646.73,-8.6,104.1,Clear
F0034,2023-02-26 07:48:38,36.7243,-112.734,5338.91,-7.5,85.6,Clear
F0034,2023-02-26 08:54:17,34.9589,-82.2809,9138.76,4.9,42.4,Clear
F0034,2023-02-26 08:00:42,37.1733,-122.1622,6151.61,15.6,109.1,Cloudy
F0035,2023-01-26 13:38:18,52.9776,-96.681,20453.85,-15.5,143.9,Rain
F0035,2023-01-26 11:41:47,55.1263,-62.6753,4279.15,-16.7,74.2,Clear
F0035,2023-01-26 13:05:15,32.7974,-61.7696,37412.18,29.7,145.6,Rain
F0035,2023-01-26 12:24:53,23.5298,-89.7334,9383.73,25.0,4.4,Rain
F0035,2023-01-26 14:10:04,57.9132,-79.0978,9233.25,12.2,149.5,Storm
F0036,2023-09-29 08:59:32,37.9491,-84.3457,39457.88,12.5,44.6,Cloudy
F0036,2023-09-29 08:54:08,31.733,-114.2833,7813.08,29.2,85.0,Storm
F0036,2023-09-29 08:48:33,52.7522,-116.0631,20902.67,-5.4,71.5,Storm
F0037,2023-06-03 13:32:41,59.61,-128.7717,23445.15,3.9,136.2,Clear
F0037,2023-06-03 13:54:21,56.973,-67.1163,31616.39,25.3,93.9,Storm
F0037,2023-06-03 15:38:58,48.0871,-69.897,7977.32,18.2,132.0,Clear
F0037,2023-06-03 15:36:58,23.456,-61.5819,24242.52,-4.3,50.4,Clear
F0037,2023-06-03 14:46:14,21.8383,-109.8759,24656.23,3.1,130.9,Rain
F0037,2023-06-03 13:55:12,56.7216,-98.9454,21508.16,,14.0,Clear
F0038,2023-04-14 15:02:15,25.2815,-86.8008,23465.17,-8.6,,Cloudy
F0038,2023-04-14 14:58:24,52.9598,-81.587,7934.9,-6.7,41.1,Cloudy
F0038,2023-04-14 13:27:12,24.3799,-111.8797,7349.49,29.1,42.8,Cloudy
F0038,2023-04-14 13:48:32,27.0556,-96.3741,34223.31,0.8,50.2,Storm
F0039,2023-05-13 06:35:00,50.8862,-119.0143,25361.21,-4.2,140.8,Storm
F0039,2023-05-13 04:28:18,25.1589,-70.6691,28906.09,-14.3,108.1,Rain
F0039,2023-05-13 02:46:41,43.1433,-70.5351,31538.19,7.6,,Cloudy
F0039,2023-05-13 02:06:51,23.6668,-103.0132,37419.08,-9.8,60.0,Clear
F0039,2023-05-13 02:20:59,55.3314,-121.4154,15192.5,25.6,0.0,Clear
F0040,2023-08-26 14:28:31,38.0639,-83.6114,39544.98,-8.4,149.1,Sunny
F0040,2023-08-26 13:49:38,25.4163,-85.6948,21629.29,-3.8,32.7,Cloudy
F0040,2023-08-26 13:15:46,48.7117,-122.9285,3068.42,-5.0,69.7,Rain
F0041,2023-04-07 05:40:52,33.1294,-87.9699,8382.31,15.7,,Clear
F0041,2023-04-07 04:12:06,32.8811,-97.7123,24882.84,16.6,8.8,Storm
F0041,2023-04-07 06:02:01,21.4277,-68.0341,28993.42,20.1,147.8,Storm
F0041,2023-04-07 04:33:57,40.9852,-128.966,26245.3,17.2,36.1,Sunny
F0043,2023-03-27 12:26:13,49.365,-70.9744,4770.87,-2.6,61.8,Sunny
F0043,2023-03-27 10:57:58,29.6412,-108.2518,19475.55,7.8,34.9,Cloudy
F0043,2023-03-27 11:11:08,24.8446,-72.6608,35641.67,16.8,41.2,Clear
F0043,2023-03-27 11:27:12,46.2508,-92.3667,30204.71,23.6,127.4,Rain
F0043,2023-03-27 11:11:28,43.2557,-83.4353,37800.27,0.2,60.6,Sunny
F0043,2023-03-27 12:18:13,46.2276,-106.8285,17834.46,,55.6,Storm
F0044,2023-07-09 04:47:53,45.6308,-73.6431,10773.34,24.9,56.7,Cloudy
F0044,2023-07-09 07:46:57,45.1666,-92.9208,23201.14,-4.2,12.7,Rain
F0044,2023-07-09 07:43:34,52.888,-61.0924,36668.58,-15.6,140.5,Storm
F0045,2023-02-16 04:09:05,54.3454,-68.5167,4223.34,20.3,57.1,Rain
F0045,2023-02-16 00:36:44,56.3207,-111.2229,33867.67,4.9,87.5,Cloudy
F0045,2023-02-16 01:22:30,37.0126,-92.592,15190.95,17.9,132.0,Rain
F0046,2023-04-08 16:51:35,29.0118,-108.7417,17097.97,,139.2,Cloudy
F0046,2023-04-08 14:38:57,34.5359,-93.3562,20040.37,-2.0,110.8,Sunny
F0046,2023-04-08 13:58:07,44.4927,-89.7385,8704.83,-14.4,30.7,Rain
F0046,2023-04-08 15:43:09,29.2655,-129.9743,15681.44,13.0,118.8,Cloudy
F0046,2023-04-08 14:34:02,20.364,-115.0796,13550.25,-8.0,84.5,Clear
F0046,2023-04-08 15:38:49,55.3451,-101.3624,39802.95,,108.9,Rain
F0047,2023-03-03 05:08:20,40.1808,-86.6765,22272.04,15.0,32.6,Sunny
F0047,2023-03-03 04:59:13,43.8136,-102.7789,30117.15,8.0,83.8,Sunny
F0047,2023-03-03 04:37:33,59.895,-96.0351,33450.19,-15.9,9.7,Cloudy
F0047,2023-03-03 04:51:21,52.797,-122.9725,14801.42,23.4,126.5,Rain
F0048,2023-10-04 02:22:19,24.4531,-64.6703,7459.36,20.4,66.2,Clear
F0048,2023-10-04 02:15:04,34.2973,-89.3339,38053.28,-12.3,,Rain
F0048,2023-10-04 02:36:46,55.8483,-127.1139,22930.74,-9.7,121.8,Clear
F0048,2023-10-04 02:01:35,49.0143,-86.7811,11971.18,26.1,49.0,Clear
F0048,2023-10-04 02:13:36,33.4207,-128.6141,38481.08,-14.3,62.6,Sunny
F0048,2023-10-04 02:37:18,37.8537,-67.1438,11080.96,20.9,54.4,Storm
F0049,2023-09-02 23:17:49,40.1659,-117.6302,21780.46,-12.6,3.8,Rain
F0049,2023-09-03 00:07:11,51.9489,-64.5378,27017.71,3.7,7.4,Sunny
F0049,2023-09-03 01:15:40,36.337,-92.1035,28484.96,3.2,54.4,Rain
F0049,2023-09-02 23:02:55,39.9264,-88.3164,35848.32,-19.4,61.7,Rain
F0049,2023-09-03 00:26:37,38.1056,-65.4456,30551.97,9.7,69.8,Cloudy
F0050,2023-09-20 06:39:28,43.0245,-110.009,33809.5,4.9,44.1,Clear
F0050,2023-09-20 04:26:01,54.1121,-72.7928,20250.47,9.2,139.8,Clear
F0050,2023-09-20 04:48:35,52.0768,-74.025,18839.3,18.6,18.0,Rain
F0050,2023-09-20 05:30:23,55.5279,-120.2393,5862.89,17.2,132.6,Storm
F0050,2023-09-20 04:48:56,35.8847,-75.1187,37615.26,1.4,72.2,Storm
F0051,2023-12-20 10:11:39,20.7604,-84.2922,34103.45,-9.0,129.6,Rain
F0051,2023-12-20 10:11:38,45.1039,-70.4864,34129.02,-18.2,41.8,Storm
F0051,2023-12-20 09:39:27,42.1635,-106.2232,6210.84,12.0,24.2,Rain
F0051,2023-12-20 09:41:16,53.0046,-64.4447,30560.04,4.8,129.6,Cloudy
F0051,2023-12-20 10:00:23,22.2568,-93.5342,15184.42,-15.9,85.6,Cloudy
F0052,2023-02-13 19:25:45,34.6186,-84.5471,3074.75,16.9,19.0,Sunny
F0052,2023-02-13 18:56:14,43.1443,-119.8011,36530.01,22.3,13.6,Clear
F0052,2023-02-13 17:31:26,48.402,-89.2372,30172.29,2.0,126.8,Cloudy
F0052,2023-02-13 17:35:01,22.0743,-113.6463,38784.2,18.4,48.8,Clear
F0052,2023-02-13 18:40:13,35.7266,-61.8923,26716.47,28.3,146.1,Rain
F0053,2023-04-07 06:04:58,38.883,-90.4355,28696.98,-15.0,133.1,Storm
F0053,2023-04-07 07:04:53,30.51,-60.7571,20566.33,5.3,127.7,Sunny
F0053,2023-04-07 05:59:24,53.4669,-93.0918,5585.35,-6.1,76.1,Rain
F0054,2023-10-02 13:40:25,42.8574,-124.9452,34388.44,7.6,92.0,Sunny
F0054,2023-10-02 13:52:43,57.477,-101.4308,35196.99,-19.2,105.5,Cloudy
F0054,2023-10-02 12:23:50,41.9286,-73.1617,25383.92,27.9,99.6,Cloudy
F0055,2023-05-23 17:18:38,55.7026,-99.3847,12562.91,-1.6,126.0,Cloudy
F0055,2023-05-23 16:05:54,34.6822,-115.9189,19718.71,-12.4,57.7,Clear
F0055,2023-05-23 16:25:19,46.4297,-121.5234,32542.37,26.5,70.4,Storm
F0056,2023-02-06 20:43:55,24.5904,-83.6662,17030.82,0.9,61.8,Cloudy
F0056,2023-02-06 20:29:47,35.5024,-115.4534,18131.74,6.0,34.5,Cloudy
F0056,2023-02-06 19:29:28,59.4478,-67.0942,23970.07,22.7,72.9,Clear
F0056,2023-02-06 19:21:59,28.7459,-100.3608,10209.71,-6.8,54.0,Sunny
F0057,2023-10-17 08:54:33,45.2341,-98.3658,19466.59,14.6,94.1,Rain
F0057,2023-10-17 09:03:03,51.6372,-80.3483,32532.5,-9.5,34.8,Rain
F0057,2023-10-17 10:47:38,55.339,-79.5431,8408.45,22.6,20.8,Rain
F0057,2023-10-17 08:58:48,53.1361,-119.0874,8856.41,21.8,75.8,Rain
F0057,2023-10-17 10:18:43,41.7584,-96.644,7338.0,9.2,8.9,Cloudy
F0058,2023-03-23 10:38:50,31.5174,-128.2425,24761.97,17.8,29.7,Sunny
F0058,2023-03-23 09:21:59,24.4536,-106.1427,15935.32,-2.4,1.9,Storm
F0058,2023-03-23 05:40:25,41.0426,-61.1008,39917.68,24.4,25.6,Cloudy
F0058,2023-03-23 06:38:38,30.2724,-93.1903,7651.57,17.4,48.5,Clear
F0058,2023-03-23 09:24:14,49.3908,-79.4834,5749.32,10.6,105.5,Storm
F0058,2023-03-23 06:29:03,55.4879,-73.2568,18759.34,12.7,29.3,Sunny
F0059,2023-07-13 17:53:45,21.8759,-114.8755,14490.98,9.9,44.9,Cloudy
F0059,2023-07-13 16:48:14,38.4753,-61.5514,14909.79,19.4,97.2,Rain
F0059,2023-07-13 19:33:36,55.2041,-101.1507,34464.41,26.1,2.9,Sunny
F0059,2023-07-13 16:32:07,29.6126,-93.1393,36718.95,-9.6,52.0,Sunny
F0059,2023-07-13 20:25:34,51.0963,-67.0127,4337.29,10.5,70.3,Cloudy
F0060,2023-09-12 11:34:11,51.1653,-70.2993,34368.41,15.7,81.4,Cloudy
F0060,2023-09-12 12:17:02,50.4963,-129.7455,20870.44,21.3,113.8,Storm
F0060,2023-09-12 11:52:53,24.3996,-87.2456,6289.45,27.7,98.5,Sunny
F0060,2023-09-12 11:32:39,50.4971,-120.2853,31702.1,26.1,7.6,Clear
F0060,2023-09-12 12:12:21,40.8281,-82.4468,15297.9,11.6,,Cloudy
F0061,2023-06-12 08:46:43,24.2727,-119.5405,11657.04,1.2,60.0,Cloudy
F0061,2023-06-12 07:28:14,59.2104,-128.5277,22776.43,-10.8,56.4,Clear
F0061,2023-06-12 08:21:29,34.6058,-122.3965,9296.37,-19.0,31.5,Rain
F0061,2023-06-12 08:33:36,44.442,-64.235,6204.18,10.9,102.2,Storm
F0061,2023-06-12 07:26:09,37.1778,-95.1608,35875.79,-7.1,32.4,Cloudy
F0061,2023-06-12 07:33:32,25.0615,-80.113,35167.89,10.4,144.6,Rain
F0062,2023-10-07 10:58:47,54.6207,-74.9619,31721.96,9.2,82.5,Cloudy
F0062,2023-10-07 11:30:00,26.7582,-89.1613,13541.7,9.7,70.7,Sunny
F0062,2023-10-07 10:59:07,49.664,-86.9902,18471.35,24.4,,Clear
F0062,2023-10-07 11:31:20,48.088,-94.1492,7130.43,4.6,123.1,Storm
F0062,2023-10-07 11:28:26,36.1059,-128.8061,36172.02,-19.5,45.0,Sunny
F0062,2023-10-07 11:12:57,55.2912,-112.0038,34232.92,24.5,140.9,Storm
F0063,2023-09-19 09:41:12,54.0336,-83.599,24223.82,-19.6,90.7,Cloudy
F0063,2023-09-19 10:59:03,45.2766,-110.5385,19473.24,13.1,61.4,Storm
F0063,2023-09-19 10:59:36,59.7999,-74.598,26066.75,-8.3,79.9,Storm
F0063,2023-09-19 08:58:37,55.6364,-122.7739,16990.03,13.5,106.7,Clear
F0063,2023-09-19 09:54:33,42.5808,-96.9129,36129.92,-18.4,12.1,Rain
F0063,2023-09-19 09:57:20,36.5825,-67.5523,18165.06,-7.8,42.7,Clear
F0064,2023-01-05 02:21:04,57.316,-118.1939,7296.79,-11.3,,Rain
F0064,2023-01-05 03:01:05,46.7946,-74.0955,19358.61,23.6,58.6,Clear
F0064,2023-01-05 01:27:53,25.4538,-117.2852,22892.52,7.3,95.8,Storm
F0064,2023-01-05 02:17:36,45.6661,-80.7265,33668.11,13.0,53.3,Sunny
F0064,2023-01-05 03:52:22,57.5139,-65.6331,29396.05,-10.9,32.9,Clear
F0065,2023-02-27 09:36:12,49.0809,-80.4938,38639.21,29.2,85.4,Clear
F0065,2023-02-27 09:20:23,43.6772,-113.6363,17024.76,24.6,53.1,Sunny
F0065,2023-02-27 06:55:13,33.3005,-113.8327,30604.85,24.0,62.4,Sunny
F0066,2023-07-15 20:29:03,26.3903,-72.8367,17503.26,12.2,11.6,Sunny
F0066,2023-07-15 20:25:48,29.5095,-63.9972,34827.56,5.0,38.3,Rain
F0066,2023-07-15 20:18:27,50.3885,-99.6278,33158.23,,59.8,Rain
F0066,2023-07-15 21:03:29,31.4877,-108.4296,8780.31,-6.5,14.3,Rain
F0066,2023-07-15 20:19:35,47.7621,-98.5928,32569.05,5.4,124.4,Clear
F0066,2023-07-15 20:51:55,40.2316,-91.3011,10531.63,,127.1,Cloudy
F0067,2023-05-10 04:02:27,34.0409,-93.9053,14323.08,,68.2,Rain
F0067,2023-05-10 03:21:50,54.9949,-116.8975,39314.3,12.2,66.8,Clear
F0067,2023-05-10 04:13:45,58.2148,-93.5201,35325.83,-5.3,86.4,Rain
F0067,2023-05-10 02:47:45,32.1389,-127.3546,24922.92,-12.0,35.9,Clear
F0067,2023-05-10 02:03:13,59.0957,-106.6675,33774.89,-7.0,66.2,Clear
F0068,2023-06-11 02:41:31,58.5197,-66.7844,29501.07,,81.9,Rain
F0068,2023-06-10 23:32:24,31.5466,-94.2895,5582.5,5.1,118.4,Sunny
F0068,2023-06-11 01:53:12,26.7082,-102.3007,11699.91,-0.1,82.7,Sunny
F0068,2023-06-11 00:14:15,27.8538,-128.7082,15411.16,-14.5,5.7,Sunny
F0069,2023-09-23 11:18:54,30.9776,-78.0529,32162.72,-3.3,83.5,Sunny
F0069,2023-09-23 11:19:28,49.0277,-90.3006,38062.08,6.0,78.0,Rain
F0069,2023-09-23 11:54:58,39.2908,-113.8459,34329.44,15.3,124.5,Cloudy
F0069,2023-09-23 11:10:41,55.2003,-102.3519,27711.13,20.3,,Cloudy
F0069,2023-09-23 11:53:16,20.2725,-108.6616,13636.26,17.5,91.6,Sunny
F0069,2023-09-23 11:20:50,20.2032,-109.8559,33622.5,-0.5,78.4,Cloudy
F0071,2023-02-09 10:33:39,23.5507,-121.2048,18766.61,6.2,74.7,Clear
F0071,2023-02-09 11:41:05,55.7888,-113.9726,26948.68,3.5,50.8,Sunny
F0071,2023-02-09 09:46:29,29.0397,-114.205,34962.91,29.1,83.5,Cloudy
F0072,2023-10-31 15:08:09,48.9089,-98.9584,21625.98,-19.9,103.4,Clear
F0072,2023-10-31 14:10:23,58.0364,-87.482,31471.8,29.8,73.7,Rain
F0072,2023-10-31 14:56:29,26.9214,-129.1752,24151.45,-13.7,83.7,Storm
F0072,2023-10-31 13:33:03,57.1326,-102.5776,15403.49,1.6,42.1,Sunny
F0073,2023-05-17 03:59:03,37.877,-65.0882,32960.41,20.6,87.6,Rain
F0073,2023-05-17 06:03:16,24.9359,-91.0943,9416.91,-11.5,84.6,Storm
F0073,2023-05-17 03:53:22,40.4401,-66.8671,24264.53,6.4,48.4,Clear
F0073,2023-05-17 02:21:32,29.9945,-78.4006,11106.26,9.9,51.2,Clear
F0073,2023-05-17 06:34:37,57.2885,-61.0912,28972.46,4.2,83.4,Cloudy
F0074,2023-12-20 12:38:10,57.2905,-114.1603,32293.26,21.0,95.4,Storm
F0074,2023-12-20 12:55:00,49.4026,-111.7158,15961.52,0.6,143.2,Storm
F0074,2023-12-20 13:40:49,27.7951,-119.3346,8564.79,-15.5,2.5,Sunny
F0074,2023-12-20 14:13:05,53.6356,-66.9222,3914.2,25.9,9.8,Storm
F0074,2023-12-20 13:33:23,50.4128,-125.4424,33282.66,4.5,57.0,Cloudy
