sensor_id,flight_id,sensor_type,sensor_value,event_time
VI7676,F0036,Vibration,1.58,2023-02-06 23:10:58
VI5952,F0036,Vibration,3.7,2023-02-06 19:29:20
AI2907,F0036,Air Pressure,104.58,2023-02-06 20:51:52
AI6014,F0036,Air Pressure,107.49,2023-02-06 22:24:27
AI9459,F0036,Air Pressure,106.89,2023-02-06 22:16:08
AI2950,F0036,Airspeed,434.25,2023-02-06 19:56:54
AI7972,F0036,Airspeed,300.59,2023-02-06 19:57:58
EN2256,F0037,Engine Temperature,552.6,2023-04-28 21:49:50
EN1340,F0037,Engine Temperature,590.63,2023-04-28 21:35:01
EN1218,F0037,Engine Temperature,547.63,2023-04-28 21:14:17
FU4142,F0037,Fuel Level,56.48,2023-04-28 21:39:25
FU8028,F0037,Fuel Level,83.65,2023-04-28 21:27:03
VI4037,F0037,Vibration,3.35,2023-04-28 21:52:36
VI8850,F0037,Vibration,2.38,2023-04-28 21:20:40
AI7585,F0037,Air Pressure,98.83,2023-04-28 21:57:03
AI7157,F0037,Air Pressure,103.39,2023-04-28 20:43:44
AI2316,F0037,Air Pressure,90.66,2023-04-28 21:37:05
AI6657,F0037,Airspeed,556.24,2023-04-28 21:09:14
AI2708,F0037,Airspeed,581.19,2023-04-28 21:34:23
AI3948,F0037,Airspeed,421.39,2023-04-28 20:47:51
EN9761,F0038,Engine Temperature,689.0,2023-05-25 12:22:52
FU2200,F0038,Fuel Level,32.9,2023-05-25 12:57:59
FU9984,F0038,Fuel Level,41.59,2023-05-25 12:48:59
FU4712,F0038,Fuel Level,29.38,2023-05-25 14:59:24
VI2494,F0038,Vibration,4.53,2023-05-25 11:37:53
AI8070,F0038,Air Pressure,98.95,2023-05-25 12:31:26
AI8745,F0038,Air Pressure,96.7,2023-05-25 14:57:25
AI4747,F0038,Air Pressure,107.79,2023-05-25 15:14:51
AI2861,F0038,Airspeed,381.11,2023-05-25 11:11:05
AI1136,F0038,Airspeed,386.0,2023-05-25 15:24:53
EN2579,F0039,Engine Temperature,504.34,2023-04-20 23:12:59
FU4094,F0039,Fuel Level,65.34,2023-04-20 23:31:08
FU7350,F0039,Fuel Level,36.6,2023-04-20 23:10:24
VI5670,F0039,Vibration,3.81,2023-04-20 23:27:54
AI9784,F0039,Air Pressure,93.39,2023-04-20 23:31:00
AI2691,F0039,Air Pressure,109.49,2023-04-20 22:45:20
AI5706,F0039,Air Pressure,102.12,2023-04-20 22:43:53
AI8710,F0039,Airspeed,585.97,2023-04-20 23:19:21
AI7329,F0039,Airspeed,470.68,2023-04-20 22:40:20
AI1836,F0039,Airspeed,352.23,2023-04-20 22:48:34
EN3601,F0040,Engine Temperature,699.16,2023-08-11 01:22:33
FU1586,F0040,Fuel Level,38.26,2023-08-11 01:21:09
FU4494,F0040,Fuel Level,64.75,2023-08-11 03:49:53
VI8882,F0040,Vibration,1.36,2023-08-11 04:10:10
VI4302,F0040,Vibration,0.26,2023-08-11 04:13:43
AI8588,F0040,Air Pressure,94.47,2023-08-11 03:11:45
AI5449,F0040,Air Pressure,104.01,2023-08-11 01:19:15
AI7351,F0040,Airspeed,517.55,2023-08-11 04:29:45
EN3003,F0041,Engine Temperature,674.6,2023-05-08 21:07:25
EN7958,F0041,Engine Temperature,572.58,2023-05-08 20:53:41
FU5707,F0041,Fuel Level,30.64,2023-05-08 23:00:24
FU2562,F0041,Fuel Level,39.23,2023-05-09 00:28:56
VI4455,F0041,Vibration,1.89,2023-05-08 21:13:39
AI1633,F0041,Air Pressure,93.57,2023-05-08 23:44:44
AI9066,F0041,Air Pressure,98.81,2023-05-08 22:17:38
AI8458,F0041,Air Pressure,106.79,2023-05-08 21:08:15
AI3861,F0041,Airspeed,344.13,2023-05-08 20:51:05
EN6573,F0042,Engine Temperature,579.04,2023-11-13 07:37:41
FU2752,F0042,Fuel Level,81.72,2023-11-13 07:49:58
FU2312,F0042,Fuel Level,80.81,2023-11-13 08:21:46
VI9842,F0042,Vibration,3.13,2023-11-13 08:15:58
VI3526,F0042,Vibration,,2023-11-13 08:23:35
VI4963,F0042,Vibration,,2023-11-13 08:03:12
AI1194,F0042,Air Pressure,99.45,2023-11-13 08:33:38
AI9630,F0042,Air Pressure,98.19,2023-11-13 08:31:26
AI4423,F0042,Airspeed,306.04,2023-11-13 07:45:25
EN4957,F0043,Engine Temperature,557.89,2023-10-14 17:22:09
FU1053,F0043,Fuel Level,38.8,2023-10-14 17:22:52
VI9915,F0043,Vibration,0.04,2023-10-14 17:44:56
VI9578,F0043,Vibration,0.24,2023-10-14 17:09:39
VI2679,F0043,Vibration,2.61,2023-10-14 17:37:06
AI5874,F0043,Air Pressure,96.9,2023-10-14 16:57:35
AI7018,F0043,Air Pressure,108.82,2023-10-14 17:30:22
AI4037,F0043,Air Pressure,94.46,2023-10-14 17:20:08
AI1311,F0043,Airspeed,316.29,2023-10-14 17:27:46
AI6092,F0043,Airspeed,416.02,2023-10-14 17:06:05
AI9811,F0043,Airspeed,353.73,2023-10-14 17:38:42
EN7444,F0044,Engine Temperature,523.85,2023-05-12 00:26:55
EN3858,F0044,Engine Temperature,542.95,2023-05-11 23:52:21
EN3477,F0044,Engine Temperature,,2023-05-11 23:39:56
FU4781,F0044,Fuel Level,59.83,2023-05-12 00:10:26
FU2937,F0044,Fuel Level,63.79,2023-05-11 22:42:54
FU2083,F0044,Fuel Level,32.13,2023-05-11 21:54:01
VI5050,F0044,Vibration,1.12,2023-05-11 21:59:51
VI9895,F0044,Vibration,4.64,2023-05-11 22:29:34
VI4738,F0044,Vibration,0.49,2023-05-11 21:37:48
AI8320,F0044,Air Pressure,93.41,2023-05-11 21:33:15
AI8891,F0044,Air Pressure,107.9,2023-05-11 21:16:44
AI8690,F0044,Airspeed,313.21,2023-05-11 21:55:47
AI4750,F0044,Airspeed,481.96,2023-05-11 23:43:29
AI9240,F0044,Airspeed,518.13,2023-05-12 01:04:51
EN3306,F0045,Engine Temperature,575.63,2023-12-08 20:00:23
EN4567,F0045,Engine Temperature,673.52,2023-12-08 20:07:24
FU5052,F0045,Fuel Level,,2023-12-08 19:37:23
FU5355,F0045,Fuel Level,20.73,2023-12-08 19:42:11
VI3937,F0045,Vibration,2.1,2023-12-08 19:34:39
VI2237,F0045,Vibration,2.31,2023-12-08 19:28:03
