flight_id,event_time,latitude,longitude,altitude,temperature,wind_speed,wind_direction,weather_condition
F0022,2023-12-26 19:51:17,51.3637,-97.9614,10727.78,-13.7,75.9,N,Rain
F0022,2023-12-26 18:54:24,55.4461,-97.0509,27069.81,19.4,53.8,NE,Clear
F0022,2023-12-26 20:59:35,39.1711,-69.9094,20231.84,1.9,,SW,Rain
F0022,2023-12-26 19:52:54,27.0112,-120.3554,16120.0,-0.0,95.4,E,Storm
F0022,2023-12-26 20:50:49,28.5246,-81.9876,21768.06,-1.3,113.7,SW,Rain
F0023,2023-02-14 10:11:05,57.8468,-116.8212,6211.71,-1.1,71.4,NW,Cloudy
F0023,2023-02-14 11:22:09,37.846,-106.9704,26572.79,-7.8,148.9,SW,Cloudy
F0023,2023-02-14 09:53:56,30.1968,-106.4031,39239.0,5.6,133.6,SW,Clear
F0023,2023-02-14 10:55:57,48.9357,-83.6545,3178.69,-16.2,98.6,SW,Rain
F0023,2023-02-14 11:07:52,35.2166,-66.8939,13767.62,-7.5,75.8,S,Rain
F0023,2023-02-14 12:46:37,50.3491,-61.5271,11628.81,11.6,102.9,NE,Rain
F0024,2023-01-31 03:11:54,38.5408,-124.3452,4847.06,20.8,138.0,NE,Storm
F0024,2023-01-31 01:37:27,53.7273,-69.0476,11708.91,-2.6,140.1,E,Cloudy
F0024,2023-01-31 01:13:08,44.7337,-103.9678,34728.99,22.9,64.9,SE,Rain
F0024,2023-01-31 02:15:58,55.4696,-99.0232,34633.28,14.5,130.7,N,Storm
F0024,2023-01-31 01:58:38,53.3247,-117.9585,22276.52,23.2,128.0,W,Storm
F0024,2023-01-31 02:11:45,58.013,-79.8596,8744.99,-5.4,4.1,S,Sunny
F0025,2023-04-29 23:07:16,58.2426,-89.712,25764.77,12.0,,SW,Clear
F0025,2023-04-30 00:29:09,22.2696,-63.878,28092.95,23.1,94.7,S,Rain
F0025,2023-04-30 01:58:41,38.628,-93.2377,27504.81,-0.7,103.9,E,Sunny
F0025,2023-04-29 23:15:23,47.6327,-120.9742,4281.95,3.2,140.0,W,Rain
F0026,2023-12-10 04:53:48,27.8414,-60.6338,38347.97,9.5,124.7,W,Clear
F0026,2023-12-10 05:52:44,47.6573,-82.6001,11542.45,-5.2,65.1,SE,Sunny
F0026,2023-12-10 06:20:28,27.0669,-108.3207,30959.58,-5.9,4.0,S,Sunny
F0026,2023-12-10 07:30:13,21.1588,-109.7288,11594.91,-3.4,90.9,N,Clear
F0026,2023-12-10 06:49:14,31.1461,-74.0488,35991.92,,133.8,NE,Rain
F0027,2023-12-07 01:59:50,58.6552,-125.8338,4725.64,17.4,95.1,NW,Clear
F0027,2023-12-07 02:16:24,34.4322,-106.4994,13820.21,22.5,37.2,E,Storm
F0027,2023-12-07 02:23:32,42.2775,-129.201,10931.85,-10.8,125.4,N,Cloudy
F0029,2023-05-28 22:01:53,56.1583,-85.4911,7119.03,27.7,,SE,Clear
F0029,2023-05-28 21:52:07,55.0089,-85.2018,6595.57,11.3,2.2,S,Rain
F0029,2023-05-28 22:30:46,53.0621,-65.8463,3453.26,-7.6,80.7,S,Storm
F0029,2023-05-28 21:35:12,26.2126,-90.4854,30026.49,26.5,7.7,SW,Rain
F0030,2023-05-20 10:32:47,44.8185,-74.4984,31963.58,-7.9,50.0,N,Rain
F0030,2023-05-20 11:01:41,43.6524,-81.7216,7866.2,24.2,18.2,N,Cloudy
F0030,2023-05-20 11:04:03,51.6104,-83.1092,15701.3,17.4,,W,Cloudy
F0030,2023-05-20 11:10:59,29.2595,-74.9754,11661.48,14.9,73.5,SW,Cloudy
F0030,2023-05-20 10:49:35,39.3546,-120.7428,30754.64,25.1,110.0,E,Clear
F0031,2023-03-03 12:18:34,34.7966,-80.6923,27848.98,8.1,,N,Clear
F0031,2023-03-03 11:59:48,47.3445,-72.5305,22354.88,,13.0,SE,Sunny
F0031,2023-03-03 12:10:50,20.8672,-60.266,9185.0,-9.1,54.8,NE,Clear
F0031,2023-03-03 12:41:55,56.2463,-88.7247,5604.22,24.8,20.8,SW,Sunny
F0031,2023-03-03 11:45:40,24.4865,-111.0734,5397.22,15.0,108.5,NE,Sunny
F0031,2023-03-03 12:36:38,39.2204,-64.9439,7566.75,26.8,86.7,NE,Clear
F0032,2023-12-10 22:10:07,43.3449,-75.0494,12232.48,22.9,35.6,SE,Cloudy
F0032,2023-12-11 00:13:35,39.0268,-127.1131,39105.7,-4.4,120.3,E,Clear
F0032,2023-12-10 23:00:31,31.0676,-129.7332,28282.5,21.5,51.9,W,Storm
F0032,2023-12-10 23:31:21,44.1229,-97.4589,13974.27,13.3,136.7,NW,Storm
F0032,2023-12-10 22:47:08,48.044,-63.3817,32216.3,-2.5,82.8,W,Clear
F0033,2023-05-09 06:15:32,59.1717,-96.8637,5446.19,11.8,1.7,E,Clear
F0033,2023-05-09 06:25:10,35.5527,-119.6652,22987.99,1.2,113.5,N,Sunny
F0033,2023-05-09 07:49:49,49.0152,-69.2886,19634.77,-0.7,142.1,NE,Rain
F0033,2023-05-09 06:17:42,48.4473,-112.3947,10571.15,22.5,41.1,SW,Rain
F0034,2023-08-03 20:34:07,37.9641,-111.4845,9159.51,-15.4,99.9,E,Sunny
F0034,2023-08-03 22:10:27,20.039,-78.056,8289.24,16.6,36.2,S,Storm
F0034,2023-08-03 22:18:25,44.9402,-77.168,17071.68,26.6,19.0,SE,Sunny
F0034,2023-08-03 22:42:18,56.2417,-71.3385,22000.29,26.0,36.7,SE,Clear
F0035,2023-11-02 08:29:42,22.2885,-127.5566,13349.89,15.4,112.7,N,Sunny
F0035,2023-11-02 10:29:26,20.2623,-99.1624,23734.38,4.4,77.8,SW,Storm
F0035,2023-11-02 09:14:54,25.01,-122.8967,31148.63,6.3,70.1,S,Clear
F0035,2023-11-02 10:19:47,51.4449,-124.7884,18679.37,18.0,43.5,SW,Cloudy
F0036,2023-12-16 20:40:18,23.2997,-91.8756,4440.45,7.9,79.3,S,Sunny
F0036,2023-12-16 23:13:09,57.3103,-76.9668,4722.96,-1.3,42.9,W,Clear
F0036,2023-12-16 23:03:50,42.8697,-87.0373,31139.99,-18.6,29.5,E,Storm
F0036,2023-12-17 01:01:12,43.1092,-82.5956,3619.66,-17.1,44.0,SW,Rain
F0037,2023-05-01 18:52:08,24.8524,-89.5463,36935.19,4.1,129.1,SE,Rain
F0037,2023-05-01 18:55:39,33.8952,-109.6012,9660.6,3.7,37.5,N,Storm
F0037,2023-05-01 19:01:46,31.257,-108.5142,14608.57,,,NW,Rain
F0037,2023-05-01 19:01:00,33.5632,-100.3145,34595.3,-7.9,91.6,E,Clear
F0037,2023-05-01 18:19:48,33.7821,-96.5154,37377.23,-19.0,50.2,SW,Storm
F0037,2023-05-01 18:33:48,51.1178,-65.3686,14791.57,-11.3,134.4,NE,Clear
F0038,2023-12-29 08:46:19,52.499,-108.3232,24713.86,24.3,89.1,W,Cloudy
F0038,2023-12-29 08:08:53,51.4753,-120.3984,18691.43,17.2,90.4,E,Rain
F0038,2023-12-29 07:36:22,39.2331,-125.913,7792.18,-17.3,22.6,SE,Cloudy
F0038,2023-12-29 07:34:02,23.8621,-116.641,13087.63,-15.9,137.2,N,Clear
F0038,2023-12-29 08:28:13,28.3579,-66.9893,26090.27,-6.5,18.9,S,Cloudy
F0039,2023-07-31 08:36:59,23.3849,-117.3808,26086.91,-11.1,84.3,S,Sunny
F0039,2023-07-31 08:48:48,57.013,-92.2033,39532.01,1.6,133.5,W,Rain
F0039,2023-07-31 09:07:03,38.2139,-105.3844,34088.85,-5.5,113.9,SW,Cloudy
F0039,2023-07-31 07:56:01,23.4652,-107.3312,34813.09,17.8,146.6,N,Storm
F0040,2023-04-15 16:50:23,42.4168,-73.8212,33345.76,10.1,35.5,S,Rain
F0040,2023-04-15 16:11:20,53.1158,-64.5672,19275.76,9.7,147.7,S,Rain
F0040,2023-04-15 16:55:09,22.2678,-126.01,20476.52,29.8,36.7,NW,Cloudy
F0040,2023-04-15 17:12:21,51.9991,-64.5227,18571.44,,122.1,NE,Storm
F0040,2023-04-15 17:14:51,42.5297,-82.5169,33007.77,29.9,120.1,S,Cloudy
F0040,2023-04-15 16:34:07,31.0314,-88.5894,28151.99,22.2,9.1,SW,Cloudy
F0041,2023-02-12 12:46:19,24.0893,-67.2691,33572.17,-17.7,26.5,S,Storm
F0041,2023-02-12 11:49:02,33.0361,-63.6497,25064.73,-13.5,,E,Clear
F0041,2023-02-12 10:56:30,51.3894,-73.6559,9161.01,-19.6,29.9,SE,Sunny
F0041,2023-02-12 11:04:05,47.3112,-123.4516,23432.14,21.3,12.8,SW,Rain
F0041,2023-02-12 12:13:52,57.343,-90.2108,23287.32,10.5,76.9,E,Rain
F0041,2023-02-12 13:05:54,57.1175,-80.9115,6071.79,19.8,8.2,N,Rain
F0042,2023-09-30 21:45:53,20.1491,-118.0484,22191.18,1.6,24.3,NW,Clear
F0042,2023-09-30 23:30:59,38.1383,-108.4795,27567.37,6.6,74.1,W,Storm
F0042,2023-09-30 23:20:04,31.4322,-78.4847,6635.0,-3.6,137.6,W,Clear
F0042,2023-09-30 23:21:51,39.3477,-83.1179,18848.32,-7.7,61.0,W,Clear
F0043,2023-10-05 01:34:13,25.8844,-122.5826,4933.96,18.0,97.5,NW,Storm
F0043,2023-10-05 01:44:58,20.3302,-75.6294,11478.21,-10.2,62.8,SW,Cloudy
F0043,2023-10-05 00:57:02,43.8415,-69.6918,34822.16,-15.8,23.1,SE,Storm
F0043,2023-10-05 01:25:50,52.3279,-101.7403,29957.96,5.0,63.3,NE,Clear
F0043,2023-10-05 01:37:43,38.8313,-117.076,7711.0,14.6,138.7,N,Clear
F0043,2023-10-05 01:04:41,22.2335,-71.5985,28999.83,1.0,122.6,SE,Sunny
F0044,2023-02-17 20:17:29,42.2406,-66.328,13229.89,16.9,27.6,N,Rain
F0044,2023-02-17 19:27:49,28.897,-125.9751,15816.02,-12.9,74.3,N,Cloudy
F0044,2023-02-17 16:27:22,37.0293,-67.7161,37048.72,14.0,84.1,SW,Clear
F0044,2023-02-17 19:34:47,53.9694,-129.1098,25811.23,-15.9,6.2,NE,Rain
F0045,2023-05-26 00:28:11,48.1246,-92.7448,3951.96,23.0,31.3,W,Sunny
F0045,2023-05-26 00:48:36,59.7588,-122.6812,7622.33,-18.8,113.2,SE,Rain
F0045,2023-05-25 22:42:59,59.5564,-126.0106,9076.3,-1.5,47.4,SE,Cloudy
F0046,2023-09-16 15:14:13,20.0457,-93.6655,38079.23,,0.5,S,Rain
F0046,2023-09-16 14:35:28,25.461,-92.0889,27013.35,19.6,70.7,S,Clear
F0046,2023-09-16 13:01:39,28.9841,-124.7276,9043.55,21.6,51.3,NE,Rain
F0046,2023-09-16 14:02:57,30.1835,-117.9999,21407.97,9.9,100.4,S,Cloudy
F0046,2023-09-16 14:43:58,24.742,-107.4625,4667.71,24.6,78.4,N,Storm
F0047,2023-12-05 13:06:12,23.1244,-69.2769,4867.47,-17.7,82.5,SE,Rain
F0047,2023-12-05 13:20:01,36.1798,-60.7698,14051.17,-7.6,39.0,E,Sunny
F0047,2023-12-05 14:29:02,39.525,-124.5095,17943.34,1.0,58.7,N,Rain
F0047,2023-12-05 12:39:07,38.0109,-121.5968,37904.29,-9.5,,NW,Clear
F0047,2023-12-05 13:07:35,30.2555,-114.2983,7945.08,24.9,23.9,NE,Cloudy
F0048,2023-04-12 15:34:24,58.7953,-119.829,22597.04,19.0,39.4,NE,Clear
F0048,2023-04-12 13:52:23,31.7667,-65.0217,4754.3,-1.1,92.9,SE,Clear
F0048,2023-04-12 14:21:23,31.2811,-128.3492,5509.92,,,SW,Cloudy
F0048,2023-04-12 15:16:50,31.6295,-93.2364,27049.84,7.6,84.3,SW,Sunny
F0049,2023-07-23 23:09:02,22.4725,-80.3448,18148.84,18.2,69.9,N,Rain
F0049,2023-07-23 23:35:39,39.3949,-83.7149,21624.9,17.3,76.2,SE,Clear
F0049,2023-07-23 23:30:59,21.455,-79.5917,33168.9,-5.7,105.5,SE,Rain
F0049,2023-07-23 22:34:04,55.8583,-79.6129,10137.93,-19.1,45.6,NW,Storm
F0049,2023-07-23 23:15:23,41.5474,-80.8737,30303.33,,81.9,S,Clear
F0050,2023-05-09 16:16:55,58.844,-108.218,20564.2,12.2,124.9,NW,Cloudy
F0050,2023-05-09 15:42:32,43.2034,-86.1055,30672.23,27.8,35.7,NW,Clear
F0050,2023-05-09 14:56:50,48.1989,-71.1246,30924.88,-19.6,48.5,SW,Cloudy
F0050,2023-05-09 15:16:54,53.7523,-118.9114,26769.93,27.9,,E,Rain
F0050,2023-05-09 15:46:44,54.4525,-109.1855,14832.36,-8.0,,SE,Clear
F0050,2023-05-09 16:07:44,25.5777,-80.3407,8661.36,6.3,25.4,E,Sunny
F0051,2023-11-08 08:05:56,50.9136,-87.4393,15957.64,4.8,88.7,SE,Sunny
F0051,2023-11-08 07:56:26,55.5415,-76.5342,11000.16,-12.7,48.2,NW,Sunny
F0051,2023-11-08 07:49:58,39.1306,-84.4963,5118.9,9.0,54.0,NE,Storm
F0051,2023-11-08 08:22:44,43.4347,-91.329,28327.23,6.3,35.3,S,Rain
F0052,2023-01-25 15:33:39,35.2415,-123.8918,12742.55,11.0,83.0,NW,Cloudy
F0052,2023-01-25 16:02:35,55.8792,-100.6237,11647.13,-8.4,120.6,SE,Rain
F0052,2023-01-25 16:04:00,58.6389,-92.7544,33654.42,3.1,,SW,Rain
F0052,2023-01-25 14:48:09,47.276,-122.5278,11966.89,22.7,131.8,E,Cloudy
F0053,2023-09-28 03:27:24,33.3499,-90.0896,29139.82,,13.4,W,Storm
F0053,2023-09-28 02:56:32,47.9643,-107.6748,22684.33,-18.9,105.5,NW,Clear
F0053,2023-09-28 04:00:32,45.4263,-86.2079,30602.28,-7.2,50.2,W,Storm
F0053,2023-09-28 03:57:22,52.7097,-73.635,19014.35,20.0,40.8,NW,Cloudy
F0053,2023-09-28 03:05:38,23.8111,-76.9208,34232.25,-8.8,55.2,E,Sunny
F0054,2023-05-29 05:03:40,31.2734,-84.2622,7500.86,-17.1,112.2,SW,Sunny
F0054,2023-05-29 08:11:42,39.8937,-122.9487,9763.91,5.6,41.3,NE,Storm
F0054,2023-05-29 05:24:13,44.5185,-115.776,15707.28,14.0,130.8,W,Sunny
F0054,2023-05-29 08:37:34,37.0148,-118.9837,21624.38,1.8,29.8,E,Clear
F0054,2023-05-29 09:54:23,32.4323,-103.9344,20278.42,26.4,36.2,N,Sunny
F0054,2023-05-29 06:14:19,50.6825,-103.7041,3968.99,12.4,66.3,SE,Storm
F0055,2023-03-19 07:02:39,44.1808,-76.4828,19996.15,14.6,16.7,S,Sunny
F0055,2023-03-19 06:45:13,46.4225,-86.6535,9524.97,18.9,56.0,N,Sunny
F0055,2023-03-19 06:17:31,32.6393,-114.4903,11562.38,-16.9,57.0,SW,Sunny
F0055,2023-03-19 06:25:17,30.2152,-84.3362,39989.04,2.6,3.2,N,Cloudy
F0055,2023-03-19 06:41:10,59.3724,-69.9459,27972.53,-15.2,77.1,NE,Rain
F0056,2023-02-20 06:35:44,31.822,-81.0892,34603.01,-18.0,73.1,NE,Rain
F0056,2023-02-20 08:41:11,57.8976,-124.2989,16523.26,26.2,117.9,N,Sunny
F0056,2023-02-20 05:06:41,52.4956,-77.8149,15080.85,-5.9,,W,Clear
F0056,2023-02-20 07:18:51,38.8911,-114.6858,26188.64,-6.3,61.8,W,Rain
F0056,2023-02-20 07:56:27,23.5103,-110.3697,27208.28,25.7,137.4,E,Storm
F0057,2023-09-28 02:48:03,38.9776,-117.0526,13553.63,3.1,90.7,SE,Cloudy
F0057,2023-09-28 03:09:38,49.9856,-105.2115,12785.37,10.5,54.5,NE,Cloudy
F0057,2023-09-28 02:58:25,39.6718,-118.9893,12441.26,7.7,113.5,NW,Storm
F0057,2023-09-28 03:07:51,50.9413,-96.6077,5391.82,2.7,87.3,NE,Sunny
F0058,2023-08-10 18:08:40,52.9741,-122.2494,8342.32,-5.6,,SW,Sunny
F0058,2023-08-10 14:34:51,46.431,-75.1157,38508.23,-19.9,134.0,SW,Cloudy
F0058,2023-08-10 17:06:30,20.0101,-129.1703,32907.48,-17.2,,N,Clear
F0059,2023-04-09 05:17:49,44.6803,-62.0896,23407.56,14.1,75.8,NW,Cloudy
F0059,2023-04-09 06:22:17,28.562,-101.9849,38653.29,29.4,122.1,SW,Storm
F0059,2023-04-09 03:43:04,46.9272,-118.4323,34242.98,19.5,139.7,SE,Rain
F0059,2023-04-09 06:53:23,44.0994,-82.5998,7711.55,11.5,14.8,NE,Clear
F0059,2023-04-09 05:45:03,51.8787,-61.7995,17765.31,12.4,59.4,SW,Clear
F0060,2023-04-15 08:29:50,42.7416,-114.5068,29408.78,24.7,116.7,NE,Storm
F0060,2023-04-15 07:30:37,47.8195,-80.8045,24493.7,2.7,74.0,SW,Clear
F0060,2023-04-15 08:27:17,25.0034,-87.4796,25134.91,-14.0,22.7,W,Sunny
F0060,2023-04-15 08:14:34,22.3614,-89.0323,24519.46,15.6,68.8,W,Sunny
F0060,2023-04-15 07:41:20,36.1989,-124.6763,5210.5,-16.2,146.6,E,Storm
F0060,2023-04-15 07:29:17,50.0793,-106.0605,3288.18,-14.4,51.4,NE,Storm
F0061,2023-09-16 01:20:16,57.1163,-120.2444,17152.28,21.7,62.2,SE,Storm
F0061,2023-09-16 01:08:28,31.5484,-118.1588,31246.95,-8.4,110.4,S,Clear
F0061,2023-09-16 02:09:13,55.0762,-116.0622,9601.7,0.7,113.2,E,Sunny
F0061,2023-09-16 02:12:59,57.3691,-107.6542,38242.83,23.0,149.6,N,Sunny
F0061,2023-09-16 01:02:26,46.7295,-62.8407,18377.71,3.2,,W,Cloudy
F0061,2023-09-16 01:35:03,30.7118,-105.9552,33351.91,-17.2,22.5,N,Storm
F0062,2023-04-17 21:20:17,24.8282,-124.2396,8984.25,12.4,90.0,SW,Sunny
F0062,2023-04-17 20:30:01,25.8642,-70.5103,34659.34,14.2,55.6,NE,Rain
F0062,2023-04-17 20:34:06,38.0911,-120.3856,3234.68,,105.0,SW,Storm
F0062,2023-04-17 20:58:42,57.1848,-92.4679,31947.6,-14.5,,E,Storm
F0062,2023-04-17 21:14:41,59.9225,-85.3452,8280.27,-10.2,41.0,NW,Clear
F0063,2023-07-22 07:41:02,58.5906,-62.1324,24834.26,2.4,145.8,N,Clear
F0063,2023-07-22 07:20:03,20.6963,-99.8425,17483.33,-5.4,27.3,SE,Cloudy
F0063,2023-07-22 07:55:51,37.1277,-73.5631,22625.13,,102.7,W,Storm
F0064,2023-09-08 17:40:46,27.755,-108.3661,37302.53,-17.3,98.8,W,Storm
F0064,2023-09-08 18:30:28,42.4179,-111.1126,36251.39,7.1,32.6,E,Sunny
F0064,2023-09-08 18:09:59,44.3531,-117.0654,31966.81,19.0,107.3,E,Cloudy
F0064,2023-09-08 17:48:37,40.866,-82.0468,33300.15,15.5,5.1,NW,Clear
F0065,2023-12-27 18:17:10,46.7453,-69.1183,18028.49,25.7,43.1,SE,Sunny
F0065,2023-12-27 17:23:05,25.9373,-120.49,3548.13,-19.5,87.6,N,Rain
F0065,2023-12-27 18:29:47,56.0727,-121.1449,37201.99,26.2,124.5,E,Rain
F0065,2023-12-27 18:28:19,46.1977,-61.2543,18490.7,-5.1,24.2,N,Clear
F0065,2023-12-27 17:29:41,43.6529,-114.7096,5756.0,-9.0,39.2,E,Sunny
F0066,2023-12-29 11:28:35,35.4526,-88.4,38948.73,29.3,14.8,NE,Clear
